id	date	time	dateTime	site	type	si	no2	nn	no3	nh4	po4	notes	rDateTime	precipitation
29	4/26/2019	13:00:00	4/26/2019 13:00	Star	np	3.1	0.07	0.58	0.51	NA	0.01	NA	4/26/2019 13:00	dry
31	4/26/2019	11:00:00	4/26/2019 11:00	S Mac	np	3.6	0.1	0.86	0.76	NA	0.01	NA	4/26/2019 11:00	dry
33	5/6/2019	9:45:00	5/6/2019 9:45	Emerald	np	1.2	0.01	0.11	0.1	NA	0.08	NA	5/6/2019 9:45	dry
35	5/6/2019	10:27:00	5/6/2019 10:27	N Mac	np	3.8	0.05	0.52	0.46	NA	0	NA	5/6/2019 10:27	dry
37	5/6/2019	10:53:00	5/6/2019 10:53	Star	np	2.7	0.05	0.36	0.32	NA	0	NA	5/6/2019 10:53	dry
39	5/6/2019	11:20:00	5/6/2019 11:20	S Mac	np	2.4	0.05	0.34	0.29	NA	0	NA	5/6/2019 11:20	dry
41	5/29/2019	11:56:00	5/29/2019 11:56	Emerald	np	1	0.01	0.52	0.51	NA	0.09	NA	5/29/2019 11:56	wet
43	5/29/2019	13:35:00	5/29/2019 13:35	N Mac	np	10.9	0.05	0.39	0.34	NA	0.08	NA	5/29/2019 13:35	wet
45	5/29/2019	14:00:00	5/29/2019 14:00	Star	np	6.4	0.07	0.68	0.62	NA	0.06	NA	5/29/2019 14:00	wet
47	5/29/2019	14:30:00	5/29/2019 14:30	S Mac	np	5.4	0.06	0.6	0.55	NA	0.08	NA	5/29/2019 14:30	wet
49	6/29/2019	8:30:00	6/29/2019 8:30	Emerald	np	1.1	0.02	0.32	0.3	NA	0.12	NA	6/29/2019 8:30	wet
51	6/29/2019	14:55:00	6/29/2019 14:55	N Mac	np	4	0.1	0.2	0.09	NA	0.03	NA	6/29/2019 14:55	wet
53	6/29/2019	7:03:00	6/29/2019 7:03	Star	np	3.9	0.09	0.17	0.07	NA	0.05	NA	6/29/2019 7:03	wet
55	6/29/2019	13:00:00	6/29/2019 13:00	S Mac	np	3.9	0.13	0.78	0.65	NA	0.06	NA	6/29/2019 13:00	wet
57	7/26/2019	9:00:00	7/26/2019 9:00	Emerald	np	2.7	0.01	0.07	0.06	NA	0	NA	7/26/2019 9:00	wet
59	7/26/2019	11:35:00	7/26/2019 11:35	N Mac	np	8.8	0.07	0.97	0.91	NA	0	NA	7/26/2019 11:35	wet
61	7/26/2019	13:18:00	7/26/2019 13:18	Star	np	7	0.12	1.43	1.31	NA	0	NA	7/26/2019 13:18	wet
63	7/26/2019	10:15:00	7/26/2019 10:15	S Mac	np	8.7	0.12	1.77	1.65	NA	0	NA	7/26/2019 10:15	wet
65	8/28/2019	9:25:00	8/28/2019 9:25	Emerald	np	0.972	0	0	0	NA	0.056	NA	8/28/2019 9:25	wet
67	8/28/2019	10:34:00	8/28/2019 10:34	N Mac	np	8.862	0	0.631	0.631	NA	0.062	NA	8/28/2019 10:34	wet
69	8/28/2019	11:15:00	8/28/2019 11:15	Star	np	6.502	0	0.188	0.188	NA	0.008	NA	8/28/2019 11:15	wet
71	8/28/2019	11:45:00	8/28/2019 11:45	S Mac	np	5.181	0	0.438	0.438	NA	0.029	NA	8/28/2019 11:45	wet
75	10/10/2019	11:21:00	10/10/2019 11:21	N Mac	np	9.9	0.05	0.21	0.17	NA	0.33	NA	10/10/2019 11:21	wet
77	10/10/2019	11:54:00	10/10/2019 11:54	Star	np	8.8	0.05	0.83	0.78	NA	0.17	NA	10/10/2019 11:54	wet
79	10/10/2019	12:28:00	10/10/2019 12:28	S Mac	np	6.7	0.07	0.31	0.23	NA	0.2	NA	10/10/2019 12:28	wet
81	11/4/2019	9:45:00	11/4/2019 9:45	Emerald	np	0.7	0.05	0.66	0.6	NA	0.17	NA	11/4/2019 9:45	dry
83	11/4/2019	10:20:00	11/4/2019 10:20	N Mac	np	0.8	0.1	0.29	0.19	NA	0.26	NA	11/4/2019 10:20	dry
85	11/4/2019	12:45:00	11/4/2019 12:45	Star	np	4.7	0.09	0.55	0.47	NA	0.3	NA	11/4/2019 12:45	dry
87	11/4/2019	11:20:00	11/4/2019 11:20	S Mac	np	2.7	0.49	1.29	0.8	NA	1.63	NA	11/4/2019 11:20	dry
89	11/25/2019	9:15:00	11/25/2019 9:15	Emerald	np	1	0.33	1.35	1.02	NA	0.25	NA	11/25/2019 9:15	dry
91	11/25/2019	10:22:00	11/25/2019 10:22	N Mac	np	3.4	0.23	1.39	1.16	NA	0.18	NA	11/25/2019 10:22	dry
