"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Location_Compare","ID_1087","ID_1089","ID_1090","ID_1091","ID_1092","ID_1097","ID_1098","ID_1099","ID_2263","ID_2265","ID_2266","ID_2267","ID_2268","ID_2382","ID_2383","ID_2384"
"Acerv_evm.model.Segkk2464_pilon.23",177.476435367274,-1.95012626621117,0.544364765643897,-3.58238884896321,0.000340466495858448,0.00326742265017643,"NurseryvsCCC",0,2100,1001,919,460,111,88,868,189,378,231,73,31,60,0,141
"Acerv_evm.model.Segkk2517_pilon.8",340.217028763171,-2.00843532041502,0.631144694059506,-3.18221057598823,0.00146155511766045,0.00882636700323728,"NurseryvsCCC",0,1073,1680,1613,1107,796,288,2527,235,277,461,214,12,69,0,800
"Acerv_evm.model.Segkk2518_pilon.2",276.231580483543,-3.23771376897694,0.672273512752456,-4.81606624024339,1.46415936837183e-06,6.47367606444403e-05,"NurseryvsCCC",16,235,1586,1626,658,151,454,886,76,248,57,55,51,2,0,296
"Acerv_evm.model.Segkk2526_pilon.2",378.904756278328,-3.11681609324633,0.64559992431658,-4.8277826186949,1.38061677521868e-06,6.33038358415083e-05,"NurseryvsCCC",0,455,1522,1863,555,1734,785,1661,270,37,477,177,72,32,0,271
"Acerv_evm.model.Segkk2531_pilon.4",129.395422018887,-3.87141110773648,0.70609291446992,-5.48286355577273,4.18495791490951e-08,4.70997990787088e-06,"NurseryvsCCC",0,22,315,359,124,897,287,445,20,19,130,24,13,6,0,67
"Acerv_evm.model.Segkk2537_pilon.8",87.2797406161124,-1.75567156648736,0.541121766091786,-3.24450368937767,0.00117655493250053,0.00770674606579714,"NurseryvsCCC",0,50,274,416,399,180,144,436,74,35,209,275,145,6,0,86
"Acerv_evm.model.Segkk2537_pilon.9",762.95208642026,-2.93662323068137,0.701769280449799,-4.18459928710351,2.85669569318141e-05,0.000620454257571681,"NurseryvsCCC",62,288,2865,2698,1448,491,1285,1503,192,440,1188,344,105,16,0,675
"Acerv_evm.model.Segkk2550_pilon.12",197.989870316111,-1.90635118958088,0.60827011318638,-3.13405368479242,0.001724093100017,0.00996785447971984,"NurseryvsCCC",0,261,1055,803,290,888,359,108,160,237,548,338,285,23,0,67
"Acerv_evm.model.Segkk2566_pilon.2",171.292977792805,-1.91271722373062,0.646050696796096,-2.96063023105802,0.003070102930017,0.0143425940655134,"NurseryvsCCC",0,129,943,793,428,362,536,306,71,181,273,184,14,27,0,329
"Acerv_evm.model.Segkk2575_pilon.8",143.393944651256,-1.75805391161505,0.661826059270188,-2.65636852310364,0.00789872444400243,0.0283438285845652,"NurseryvsCCC",0,80,259,598,397,424,387,395,77,113,384,157,25,14,0,366
"Acerv_evm.model.Segkk2576_pilon.3",169.922627714832,-1.50918787214588,0.591732798073591,-2.55045499769338,0.0107582412266839,0.0349572247733195,"NurseryvsCCC",10,106,238,98,220,209,420,300,78,147,255,258,94,63,0,270
"Acerv_evm.model.Segkk2580_pilon.4",140.340756582805,-1.79747124167823,0.595379907208671,-3.0190324193259,0.00253583394321191,0.0128662394331817,"NurseryvsCCC",0,99,521,671,533,609,155,416,122,104,285,160,25,19,0,308
"Acerv_evm.model.Segkk2594_pilon.2",190.178529549939,-3.2720542642989,0.706130686030615,-4.63378001980364,3.59048528159113e-06,0.000120674724824131,"NurseryvsCCC",7,30,341,605,356,541,571,397,4,89,348,94,15,14,0,89
"Acerv_evm.model.Segkk2597_pilon.1",751.653541734933,-2.52162188848407,0.457157181737821,-5.51587504083053,3.47048793105107e-08,4.29646405864122e-06,"NurseryvsCCC",24,2137,5083,2509,1536,1316,1504,1193,631,473,1062,570,612,144,0,194
"Acerv_evm.model.Segkk2618_pilon.13",341.550584703638,-2.37884818230881,0.586569924889762,-4.05552361511866,5.00221180619588e-05,0.00083534757781334,"NurseryvsCCC",16,179,971,1538,651,391,782,973,95,243,407,342,198,20,0,460
"Acerv_evm.model.Segkk2624_pilon.5",127.040638055034,-1.25640286587512,0.524076359029217,-2.39736604070911,0.0165134179432838,0.0461481070288609,"NurseryvsCCC",0,99,428,691,438,298,174,515,90,105,467,143,96,50,0,318
"Acerv_evm.model.Segkk2637_pilon.6",269.455264141941,-1.97680758085682,0.601652194734829,-3.28563179550616,0.00101753926879943,0.007071572152773,"NurseryvsCCC",12,140,272,265,433,1024,416,740,185,189,531,286,234,30,0,238
"Acerv_evm.model.Segkk2716_pilon.9",87.75951188574,-1.66546320299882,0.579218043740201,-2.87536484921011,0.00403560872945207,0.0167577984749547,"NurseryvsCCC",0,42,202,387,190,113,345,213,52,83,273,218,36,10,0,79
"Acerv_evm.model.Segkk2723_pilon.3",189.471818603952,-0.928554689652613,0.368177510133587,-2.52202990159748,0.0116679789502318,0.0367556181689235,"NurseryvsCCC",2,448,1189,925,580,170,121,747,301,254,1067,411,290,48,0,148
"Acerv_evm.model.Segkk2737_pilon.4",748.77879050482,-1.79861283291141,0.637235471331025,-2.82252466133839,0.00476471573218707,0.0190897025127754,"NurseryvsCCC",61,493,1031,1521,1048,1329,826,1017,323,629,1176,912,301,100,0,1205
