gene_id,1087_trimmed_trimmed.fastq.gzAligned.sortedByCoord.out.bam_reestimated.merge.gtf,1089_trimmed_trimmed.fastq.gzAligned.sortedByCoord.out.bam_reestimated.merge.gtf,1090_trimmed_trimmed.fastq.gzAligned.sortedByCoord.out.bam_reestimated.merge.gtf,1091_trimmed_trimmed.fastq.gzAligned.sortedByCoord.out.bam_reestimated.merge.gtf,1092_trimmed_trimmed.fastq.gzAligned.sortedByCoord.out.bam_reestimated.merge.gtf,1096_trimmed_trimmed.fastq.gzAligned.sortedByCoord.out.bam_reestimated.merge.gtf,1097_trimmed_trimmed.fastq.gzAligned.sortedByCoord.out.bam_reestimated.merge.gtf,1098_trimmed_trimmed.fastq.gzAligned.sortedByCoord.out.bam_reestimated.merge.gtf,1099_trimmed_trimmed.fastq.gzAligned.sortedByCoord.out.bam_reestimated.merge.gtf,2263_trimmed_trimmed.fastq.gzAligned.sortedByCoord.out.bam_reestimated.merge.gtf,2265_trimmed_trimmed.fastq.gzAligned.sortedByCoord.out.bam_reestimated.merge.gtf,2266_trimmed_trimmed.fastq.gzAligned.sortedByCoord.out.bam_reestimated.merge.gtf,2267_trimmed_trimmed.fastq.gzAligned.sortedByCoord.out.bam_reestimated.merge.gtf,2268_trimmed_trimmed.fastq.gzAligned.sortedByCoord.out.bam_reestimated.merge.gtf,2382_trimmed_trimmed.fastq.gzAligned.sortedByCoord.out.bam_reestimated.merge.gtf,2383_trimmed_trimmed.fastq.gzAligned.sortedByCoord.out.bam_reestimated.merge.gtf,2384_trimmed_trimmed.fastq.gzAligned.sortedByCoord.out.bam_reestimated.merge.gtf
Lys_174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.5660,0,80,34,81,86,39,0,0,13,123,0,180,0,0,19,0,49
MSTRG.5661,0,0,4,12,9,0,0,0,0,0,0,28,0,0,0,0,0
MSTRG.5662,0,0,15,0,0,1,0,0,1,15,45,0,0,0,0,0,0
MSTRG.5663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.5665,0,9,24,0,39,0,0,0,0,98,0,0,0,1,2,0,0
MSTRG.5666,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.5667,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0
Acerv_evm.TU.Segkk3154_pilon.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acerv_evm.TU.Segkk4209_pilon.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acerv_evm.TU.Segkk3154_pilon.6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Acerv_evm.TU.Segkk3154_pilon.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.18314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.44221,0,24,30,110,190,0,0,0,0,18,14,0,0,0,13,0,17
Acerv_evm.TU.Segkk3907_pilon.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.38304,0,163,0,0,146,216,0,0,0,0,0,130,0,429,0,0,0
MSTRG.38305,57,504,461,399,249,484,744,35,203,692,637,589,705,526,371,71,333
MSTRG.38306,0,4,2,20,69,0,0,0,18,6,1,124,20,0,0,0,2
MSTRG.38307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.38300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.38301,0,0,49,47,44,7,0,0,0,14,0,103,0,0,0,0,2
MSTRG.38302,0,70,109,68,211,70,0,0,13,2,0,10,175,3,0,0,7
MSTRG.38303,1,0,15,0,3,0,0,0,0,0,0,0,0,0,0,0,79
MSTRG.38309,1,0,51,81,66,0,0,0,9,0,0,27,1,1,1,0,0
Acerv_evm.model.Segkk3856_pilon.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acerv_evm.model.Segkk2004_pilon.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acerv_evm.model.Segkk2004_pilon.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acerv_evm.model.Segkk2004_pilon.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acerv_evm.TU.Segkk177_pilon.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acerv_evm.TU.Segkk177_pilon.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acerv_evm.TU.Segkk177_pilon.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acerv_evm.TU.Segkk60_pilon.21,0,0,2,0,10,0,0,0,0,1,0,0,0,0,0,0,0
MSTRG.3848,1,183,89,184,365,184,0,0,114,309,110,472,348,320,76,0,51
MSTRG.3842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.3840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.3847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.3844,0,0,31,0,66,0,1,0,5,22,77,334,47,0,0,0,32
MSTRG.3845,1,239,122,280,110,226,0,0,0,161,0,98,169,86,30,0,0
MSTRG.18719,0,1340,844,776,873,893,0,0,152,1052,1333,1603,1849,1204,658,0,231
MSTRG.18718,1,0,89,115,26,0,4,53,22,6,0,12,33,0,0,0,14
MSTRG.18715,0,222,211,299,187,221,1,9,10,290,242,253,290,174,184,0,13
MSTRG.18714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.18717,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.11395,0,0,1,10,0,0,9,0,23,1,0,15,1,32,5,0,1
MSTRG.18710,0,77,70,1,82,12,0,0,7,116,436,399,0,89,51,0,0
MSTRG.18712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acerv_evm.TU.Segkk616_pilon.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acerv_evm.TU.Segkk616_pilon.2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
Acerv_evm.TU.Segkk302_pilon.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acerv_evm.TU.Segkk302_pilon.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.2349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acerv_evm.TU.Segkk302_pilon.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acerv_evm.model.Segkk2410_pilon.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acerv_evm.model.Segkk4262_pilon.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acerv_evm.TU.Segkk2025_pilon.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.4858,3,30,58,75,5,4,4,7,1,39,6,31,11,30,10,0,1
Acerv_evm.model.Segkk114_pilon.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.28936,0,228,29,277,113,190,0,0,43,342,271,1,3,0,211,0,25
MSTRG.28937,22,2048,719,733,566,765,222,48,348,1760,832,1612,2125,1478,855,12,937
MSTRG.28934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.28935,0,81,133,231,343,56,227,3,349,206,181,235,214,278,54,0,273
MSTRG.6315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.10388,0,0,36,0,44,0,0,0,8,22,0,93,93,9,26,0,19
MSTRG.6317,0,140,89,113,124,28,0,0,47,34,221,45,182,279,50,0,62
MSTRG.6316,0,205,210,118,225,332,1,0,24,742,283,770,1123,1463,188,7,103
MSTRG.6319,0,0,0,0,2,18,0,0,0,0,168,0,40,0,10,0,1
MSTRG.6318,0,2155,1469,2061,1912,1655,0,0,817,1288,822,2432,1471,1923,705,0,0
Ser_467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.28938,2,368,459,320,329,446,5,0,12,314,382,800,547,419,206,0,37
MSTRG.28939,0,153,256,237,112,258,9,0,54,399,446,251,276,337,117,0,89
Acerv_evm.TU.Segkk4043_pilon.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acerv_evm.TU.Segkk4043_pilon.26,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
Acerv_evm.TU.Segkk4043_pilon.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.4859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.41093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acerv_evm.TU.Segkk4043_pilon.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.33374,1,110,198,81,140,37,0,0,0,200,94,232,299,108,30,0,15
Acerv_evm.model.Segkk2596_pilon.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.33376,0,1614,2027,843,621,991,1,20,8,382,1104,1935,1721,1906,427,2,160
MSTRG.33377,0,0,56,0,152,0,0,7,120,0,28,654,212,0,0,0,10
MSTRG.33370,0,34,0,0,46,0,0,0,0,0,0,98,0,4,0,0,11
MSTRG.44258,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0
Acerv_evm.model.Segkk2596_pilon.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acerv_evm.model.Segkk2596_pilon.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acerv_evm.TU.Segkk896_pilon.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.44254,0,3,23,2,53,0,0,0,0,12,6,8,58,27,1,0,0
MSTRG.30935,0,0,87,0,88,0,0,0,0,46,0,0,0,0,0,0,0
MSTRG.44256,0,15,1,49,121,0,0,0,0,0,0,292,0,0,1,0,0
MSTRG.30933,1,10,13,22,66,22,0,0,23,27,0,17,8,0,5,0,0
Acerv_evm.TU.Segkk2248_pilon.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.30931,0,37,122,1,0,0,1,0,0,0,0,274,58,183,4,0,32
MSTRG.44252,1,373,321,612,347,320,18,24,253,373,117,521,612,450,179,0,60
MSTRG.43826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acerv_evm.model.Segkk4364_pilon.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.34357,1,0,29,76,0,21,10,0,0,9,0,254,0,278,22,0,0
Acerv_evm.TU.Segkk3416_pilon.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acerv_evm.model.Segkk3644_pilon.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.43825,0,102,0,353,0,371,0,0,0,0,0,235,0,0,0,0,0
Acerv_evm.model.Segkk2838_pilon.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acerv_evm.model.Segkk191_pilon.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acerv_evm.TU.Segkk3326_pilon.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acerv_evm.TU.Segkk3326_pilon.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.3646,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acerv_evm.TU.Segkk2335_pilon.34,0,0,0,1,0,0,0,0,0,2,0,0,2,1,0,0,0
Acerv_evm.TU.Segkk2335_pilon.35,0,0,0,0,1,0,0,0,1,2,0,0,0,0,2,0,0
Acerv_evm.TU.Segkk2335_pilon.33,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Acerv_evm.TU.Segkk2335_pilon.30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acerv_evm.TU.Segkk2335_pilon.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.36063,8,2935,1139,624,1207,1270,184,80,611,549,2090,1169,1741,1598,352,90,462
MSTRG.35882,0,67,0,0,37,37,0,0,0,33,0,0,0,11,0,0,0
Acerv_evm.TU.Segkk6_pilon.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acerv_evm.TU.Segkk6_pilon.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acerv_evm.TU.Segkk6_pilon.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acerv_evm.model.Segkk971_pilon.20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.18218,4,238,160,5,31,33,0,0,141,56,59,87,23,12,0,0,0
Acerv_evm.TU.Segkk2481_pilon.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.35438,0,833,461,561,337,546,0,0,54,631,516,680,1134,740,324,0,85
MSTRG.32429,1,61,283,340,216,192,167,199,392,39,45,517,155,113,11,0,51
MSTRG.32428,0,0,0,182,17,0,0,0,0,0,0,19,0,0,6,0,0
Acerv_evm.TU.Segkk2481_pilon.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.32423,0,15,326,125,34,0,8,0,0,26,15,153,169,204,30,0,14
MSTRG.32422,12,398,330,117,271,116,57,0,212,482,588,1576,1667,1048,150,0,267
MSTRG.32421,0,37,3,48,11,0,0,0,0,6,0,80,47,0,4,0,0
MSTRG.32420,0,510,158,209,200,62,0,2,194,201,441,336,400,170,89,0,144
MSTRG.32427,0,1383,871,600,310,303,0,0,80,780,460,603,1949,1020,570,0,144
MSTRG.32426,0,14,46,6,5,2,0,0,0,0,0,0,0,0,0,0,0
MSTRG.35437,0,0,44,0,0,11,0,0,0,0,0,17,3,2,0,0,0
MSTRG.35436,0,69,64,7,21,0,0,0,0,61,4,10,30,77,13,0,0
MSTRG.18219,2,332,230,62,0,121,4,0,133,0,120,0,0,0,5,0,0
MSTRG.12877,2,1792,727,518,949,498,10,1,386,997,782,1301,2507,1555,418,4,315
Acerv_evm.TU.Segkk3209_pilon.9,1,0,1,0,6,4,0,1,0,2,0,0,0,1,0,0,0
