transcript_id,1087_trimmed_trimmed.fastq.gzAligned.sortedByCoord.out.bam_reestimated.merge.gtf,1089_trimmed_trimmed.fastq.gzAligned.sortedByCoord.out.bam_reestimated.merge.gtf,1090_trimmed_trimmed.fastq.gzAligned.sortedByCoord.out.bam_reestimated.merge.gtf,1091_trimmed_trimmed.fastq.gzAligned.sortedByCoord.out.bam_reestimated.merge.gtf,1092_trimmed_trimmed.fastq.gzAligned.sortedByCoord.out.bam_reestimated.merge.gtf,1096_trimmed_trimmed.fastq.gzAligned.sortedByCoord.out.bam_reestimated.merge.gtf,1097_trimmed_trimmed.fastq.gzAligned.sortedByCoord.out.bam_reestimated.merge.gtf,1098_trimmed_trimmed.fastq.gzAligned.sortedByCoord.out.bam_reestimated.merge.gtf,1099_trimmed_trimmed.fastq.gzAligned.sortedByCoord.out.bam_reestimated.merge.gtf,2263_trimmed_trimmed.fastq.gzAligned.sortedByCoord.out.bam_reestimated.merge.gtf,2265_trimmed_trimmed.fastq.gzAligned.sortedByCoord.out.bam_reestimated.merge.gtf,2266_trimmed_trimmed.fastq.gzAligned.sortedByCoord.out.bam_reestimated.merge.gtf,2267_trimmed_trimmed.fastq.gzAligned.sortedByCoord.out.bam_reestimated.merge.gtf,2268_trimmed_trimmed.fastq.gzAligned.sortedByCoord.out.bam_reestimated.merge.gtf,2382_trimmed_trimmed.fastq.gzAligned.sortedByCoord.out.bam_reestimated.merge.gtf,2383_trimmed_trimmed.fastq.gzAligned.sortedByCoord.out.bam_reestimated.merge.gtf,2384_trimmed_trimmed.fastq.gzAligned.sortedByCoord.out.bam_reestimated.merge.gtf
Acerv_evm.model.Segkk114_pilon.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.2002.1,0,0,21,0,0,71,0,0,0,0,0,1,0,0,8,0,0
MSTRG.27402.1,0,0,27,0,0,0,0,0,0,0,1,40,4,0,0,0,0
MSTRG.17567.1,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acerv_evm.model.Segkk934_pilon.12,0,0,3,1,1,1,0,1,0,1,0,0,1,0,0,0,0
MSTRG.36010.1,0,57,39,112,29,37,0,0,3,13,94,249,95,21,20,0,10
Acerv_evm.model.Segkk256_pilon.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acerv_evm.model.Segkk3643_pilon.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acerv_evm.model.Segkk2596_pilon.30,0,0,72,6,0,0,0,0,0,0,0,0,0,0,0,0,0
Acerv_evm.model.Segkk2596_pilon.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acerv_evm.model.Segkk2596_pilon.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acerv_evm.model.Segkk2596_pilon.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acerv_evm.model.Segkk2596_pilon.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acerv_evm.model.Segkk2596_pilon.35,0,18,56,103,24,3,0,40,11,5,0,0,52,9,22,0,17
Acerv_evm.model.Segkk2596_pilon.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acerv_evm.model.Segkk2596_pilon.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acerv_evm.model.Segkk2596_pilon.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acerv_evm.model.Segkk2596_pilon.39,0,2957,1739,1796,1089,1322,0,0,543,1925,1988,2209,2511,2053,746,0,817
Acerv_evm.model.Segkk934_pilon.11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
MSTRG.23621.1,0,39,0,28,1,2,1,0,3,7,0,5,0,0,5,0,0
Acerv_evm.model.Segkk4364_pilon.19,0,52,30,0,0,66,0,0,0,0,0,0,0,0,0,0,0
Acerv_evm.model.Segkk4364_pilon.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acerv_evm.model.Segkk4364_pilon.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acerv_evm.model.Segkk4364_pilon.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acerv_evm.model.Segkk4364_pilon.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acerv_evm.model.Segkk4364_pilon.10,0,26,103,53,0,0,0,0,0,0,33,0,64,52,22,0,0
Acerv_evm.model.Segkk4364_pilon.17,1,0,1,17,0,0,1,1,0,0,0,1,1,0,1,1,0
Acerv_evm.model.Segkk4364_pilon.16,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Acerv_evm.model.Segkk4364_pilon.15,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Acerv_evm.model.Segkk4364_pilon.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acerv_evm.model.Segkk2765_pilon.1,0,84,0,79,136,0,0,0,0,0,0,0,111,0,35,0,0
Acerv_evm.model.Segkk2765_pilon.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acerv_evm.model.Segkk2765_pilon.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acerv_evm.model.Segkk2765_pilon.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acerv_evm.model.Segkk2765_pilon.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acerv_evm.model.Segkk2765_pilon.6,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Acerv_evm.model.Segkk2765_pilon.7,0,0,1,0,0,1,0,0,0,1,0,1,1,0,1,0,0
Acerv_evm.model.Segkk2765_pilon.8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Acerv_evm.model.Segkk2765_pilon.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acerv_evm.model.Segkk3644_pilon.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acerv_evm.model.Segkk3644_pilon.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acerv_evm.model.Segkk3644_pilon.1,1,0,0,0,1,0,0,0,0,44,0,0,0,0,0,0,0
Acerv_evm.model.Segkk121_pilon.3,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0
Acerv_evm.model.Segkk3644_pilon.3,1,136,639,1437,930,138,428,205,469,62,651,317,114,189,273,0,116
Acerv_evm.model.Segkk1766_pilon.1,0,0,454,323,369,0,0,0,110,0,182,0,85,0,0,0,100
Acerv_evm.model.Segkk2838_pilon.9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
Acerv_evm.model.Segkk2838_pilon.8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acerv_evm.model.Segkk2838_pilon.1,1,0,0,0,0,1,0,0,17,0,0,0,0,0,1,0,17
Acerv_evm.model.Segkk121_pilon.5,0,53,58,68,5,30,75,1,1,20,175,85,0,110,23,0,24
Acerv_evm.model.Segkk2838_pilon.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.25638.1,0,0,14,55,110,17,0,0,4,0,0,0,71,0,9,0,2
Acerv_evm.model.Segkk2838_pilon.5,0,7,59,0,4,55,0,0,0,4,47,121,0,9,4,0,0
Acerv_evm.model.Segkk191_pilon.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.44573.1,0,0,0,66,0,1,0,0,0,0,0,0,0,0,0,0,1
Acerv_evm.model.Segkk121_pilon.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.22687.1,1,145,2,33,3,61,3,0,63,29,156,0,17,16,0,0,53
MSTRG.4160.1,0,0,0,0,86,1,0,0,0,0,0,0,0,4,0,0,3
MSTRG.36894.1,0,181,97,136,21,55,0,0,4,41,0,38,100,25,54,1,0
MSTRG.28844.1,0,13,2,155,4,1,0,0,0,0,1,0,0,3,0,0,0
MSTRG.42716.2,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.42716.3,0,0,0,0,0,1705,0,0,0,0,0,0,0,0,0,0,0
MSTRG.28812.2,0,2,0,39,0,38,0,0,0,0,0,0,0,0,3,0,0
MSTRG.41321.1,0,22,25,6,4,6,0,3,3,8,11,87,73,94,5,0,2
MSTRG.31984.1,0,33,5,0,0,0,0,0,0,0,0,0,14,2,9,0,0
MSTRG.12432.1,0,0,0,0,0,68,0,0,0,31,7,0,1,0,0,0,0
MSTRG.44100.1,0,0,87,0,0,0,0,0,0,0,0,0,23,0,0,0,0
MSTRG.14575.1,3,4627,3179,951,1352,1578,106,6,338,3293,4514,1507,3530,3198,2282,2,218
MSTRG.27104.1,0,13,98,285,58,38,0,0,0,1,42,5,49,65,56,0,11
Acerv_evm.model.Segkk548_pilon.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.32154.1,6,361,429,346,363,690,4,0,98,364,202,342,460,170,128,0,44
MSTRG.46897.1,0,3,0,5,10,22,0,0,1,4,0,8,16,5,4,0,0
