Plot Title: KBN.12.08.21,,,,,,,
#,"Date Time, GMT-05:00","Temp, °C (LGR S/N: 21236769, SEN S/N: 21236769)","Intensity, lum/ft² (LGR S/N: 21236769, SEN S/N: 21236769)",Coupler Attached (LGR S/N: 21236769),Host Connected (LGR S/N: 21236769),Stopped (LGR S/N: 21236769),End Of File (LGR S/N: 21236769)
295,1/1/2022 22:00,25.416,0,,,,
296,1/2/2022 0:00,25.416,0,,,,
297,1/2/2022 2:00,25.125,0,,,,
298,1/2/2022 4:00,25.028,0,,,,
299,1/2/2022 6:00,25.222,0,,,,
300,1/2/2022 8:00,25.416,47,,,,
301,1/2/2022 10:00,25.513,480,,,,
302,1/2/2022 12:00,25.708,176,,,,
303,1/2/2022 14:00,25.61,160,,,,
304,1/2/2022 16:00,25.513,48,,,,
305,1/2/2022 18:00,25.708,0,,,,
306,1/2/2022 20:00,25.61,0,,,,
307,1/2/2022 22:00,25.61,0,,,,
308,1/3/2022 0:00,25.61,0,,,,
309,1/3/2022 2:00,25.222,0,,,,
310,1/3/2022 4:00,25.028,0,,,,
311,1/3/2022 6:00,25.222,0,,,,
312,1/3/2022 8:00,25.513,22,,,,
313,1/3/2022 10:00,25.708,384,,,,
314,1/3/2022 12:00,25.902,464,,,,
315,1/3/2022 14:00,25.61,95,,,,
316,1/3/2022 16:00,25.416,14,,,,
317,1/3/2022 18:00,25.222,0,,,,
318,1/3/2022 20:00,25.319,0,,,,
319,1/3/2022 22:00,25.319,0,,,,
320,1/4/2022 0:00,25.125,0,,,,
321,1/4/2022 2:00,25.028,0,,,,
322,1/4/2022 4:00,24.931,0,,,,
323,1/4/2022 6:00,24.931,0,,,,
324,1/4/2022 8:00,25.028,18,,,,
325,1/4/2022 10:00,25.416,90,,,,
326,1/4/2022 12:00,25.513,576,,,,
327,1/4/2022 14:00,25.319,240,,,,
328,1/4/2022 16:00,25.125,45,,,,
329,1/4/2022 18:00,25.125,0,,,,
330,1/4/2022 20:00,25.028,0,,,,
331,1/4/2022 22:00,25.416,0,,,,
332,1/5/2022 0:00,25.125,0,,,,
333,1/5/2022 2:00,24.835,0,,,,
334,1/5/2022 4:00,24.738,0,,,,
335,1/5/2022 6:00,24.738,0,,,,
336,1/5/2022 8:00,24.738,29,,,,
337,1/5/2022 10:00,25.319,28,,,,
338,1/5/2022 12:00,25.416,105,,,,
339,1/5/2022 14:00,25.319,216,,,,
340,1/5/2022 16:00,24.931,78,,,,
341,1/5/2022 18:00,24.931,0,,,,
342,1/5/2022 20:00,25.222,0,,,,
343,1/5/2022 22:00,25.319,0,,,,
344,1/6/2022 0:00,25.319,0,,,,
345,1/6/2022 2:00,25.125,0,,,,
346,1/6/2022 4:00,25.028,0,,,,
347,1/6/2022 6:00,24.931,0,,,,
348,1/6/2022 8:00,24.931,26,,,,
349,1/6/2022 10:00,25.125,114,,,,
350,1/6/2022 12:00,25.319,232,,,,
351,1/6/2022 14:00,25.513,416,,,,
352,1/6/2022 16:00,25.222,58,,,,
353,1/6/2022 18:00,25.028,0,,,,
354,1/6/2022 20:00,25.319,0,,,,
355,1/6/2022 22:00,25.222,0,,,,
356,1/7/2022 0:00,25.222,0,,,,
357,1/7/2022 2:00,25.125,0,,,,
358,1/7/2022 4:00,25.125,0,,,,
359,1/7/2022 6:00,25.222,0,,,,
360,1/7/2022 8:00,25.319,46,,,,
361,1/7/2022 10:00,25.222,125,,,,
362,1/7/2022 12:00,25.61,144,,,,
363,1/7/2022 14:00,25.416,82,,,,
364,1/7/2022 16:00,25.416,83,,,,
365,1/7/2022 18:00,25.222,0,,,,
366,1/7/2022 20:00,25.222,0,,,,
367,1/7/2022 22:00,25.125,0,,,,
368,1/8/2022 0:00,25.125,0,,,,
369,1/8/2022 2:00,25.125,0,,,,
370,1/8/2022 4:00,24.931,0,,,,
371,1/8/2022 6:00,24.835,0,,,,
372,1/8/2022 8:00,24.738,10,,,,
373,1/8/2022 10:00,24.931,66,,,,
374,1/8/2022 12:00,25.125,37,,,,
375,1/8/2022 14:00,25.222,86,,,,
376,1/8/2022 16:00,25.125,32,,,,
377,1/8/2022 18:00,25.125,0,,,,
378,1/8/2022 20:00,25.028,0,,,,
379,1/8/2022 22:00,25.028,0,,,,
380,1/9/2022 0:00,24.835,0,,,,
381,1/9/2022 2:00,24.931,0,,,,
382,1/9/2022 4:00,24.738,0,,,,
383,1/9/2022 6:00,24.641,0,,,,
384,1/9/2022 8:00,24.641,4,,,,
385,1/9/2022 10:00,24.641,24,,,,
386,1/9/2022 12:00,24.641,8,,,,
387,1/9/2022 14:00,24.835,89,,,,
388,1/9/2022 16:00,24.738,19,,,,
