"Plot Title: KBN_5.28.2021"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 21085862, SEN S/N: 21085862)","Coupler Attached (LGR S/N: 21085862)","Host Connected (LGR S/N: 21085862)","Stopped (LGR S/N: 21085862)","End Of File (LGR S/N: 21085862)"
287,06/21/21 05:00:00 AM,29.252,,,,
288,06/21/21 07:00:00 AM,29.352,,,,
289,06/21/21 09:00:00 AM,29.252,,,,
290,06/21/21 11:00:00 AM,29.352,,,,
291,06/21/21 01:00:00 PM,29.352,,,,
292,06/21/21 03:00:00 PM,29.452,,,,
293,06/21/21 05:00:00 PM,29.552,,,,
294,06/21/21 07:00:00 PM,29.152,,,,
295,06/21/21 09:00:00 PM,29.053,,,,
296,06/21/21 11:00:00 PM,29.053,,,,
297,06/22/21 01:00:00 AM,29.652,,,,
298,06/22/21 03:00:00 AM,29.853,,,,
299,06/22/21 05:00:00 AM,29.152,,,,
300,06/22/21 07:00:00 AM,28.853,,,,
301,06/22/21 09:00:00 AM,29.252,,,,
302,06/22/21 11:00:00 AM,29.252,,,,
303,06/22/21 01:00:00 PM,29.552,,,,
304,06/22/21 03:00:00 PM,30.255,,,,
305,06/22/21 05:00:00 PM,29.853,,,,
306,06/22/21 07:00:00 PM,29.452,,,,
307,06/22/21 09:00:00 PM,29.252,,,,
308,06/22/21 11:00:00 PM,29.252,,,,
309,06/23/21 01:00:00 AM,30.154,,,,
310,06/23/21 03:00:00 AM,30.054,,,,
311,06/23/21 05:00:00 AM,29.853,,,,
312,06/23/21 07:00:00 AM,29.053,,,,
313,06/23/21 09:00:00 AM,28.853,,,,
314,06/23/21 11:00:00 AM,29.252,,,,
315,06/23/21 01:00:00 PM,30.255,,,,
316,06/23/21 03:00:00 PM,30.760,,,,
317,06/23/21 05:00:00 PM,30.154,,,,
318,06/23/21 07:00:00 PM,29.053,,,,
319,06/23/21 09:00:00 PM,28.357,,,,
320,06/23/21 11:00:00 PM,28.258,,,,
321,06/24/21 01:00:00 AM,28.655,,,,
322,06/24/21 03:00:00 AM,29.352,,,,
323,06/24/21 05:00:00 AM,29.452,,,,
324,06/24/21 07:00:00 AM,28.655,,,,
325,06/24/21 09:00:00 AM,28.754,,,,
326,06/24/21 11:00:00 AM,28.655,,,,
327,06/24/21 01:00:00 PM,28.853,,,,
328,06/24/21 03:00:00 PM,28.853,,,,
329,06/24/21 05:00:00 PM,29.152,,,,
330,06/24/21 07:00:00 PM,28.655,,,,
331,06/24/21 09:00:00 PM,28.357,,,,
332,06/24/21 11:00:00 PM,28.357,,,,
333,06/25/21 01:00:00 AM,28.258,,,,
334,06/25/21 03:00:00 AM,28.456,,,,
335,06/25/21 05:00:00 AM,28.357,,,,
336,06/25/21 07:00:00 AM,28.456,,,,
337,06/25/21 09:00:00 AM,28.655,,,,
338,06/25/21 11:00:00 AM,28.953,,,,
339,06/25/21 01:00:00 PM,28.754,,,,
340,06/25/21 03:00:00 PM,28.953,,,,
341,06/25/21 05:00:00 PM,29.053,,,,
342,06/25/21 07:00:00 PM,28.853,,,,
343,06/25/21 09:00:00 PM,28.555,,,,
344,06/25/21 11:00:00 PM,28.357,,,,
345,06/26/21 01:00:00 AM,28.555,,,,
346,06/26/21 03:00:00 AM,28.456,,,,
