gene,"datExpr[1, moduleColors == which.module]"
Acropora_000364,6.889073626325562
Acropora_000366,8.208620852388727
Acropora_000373,6.06872428280931
Acropora_000375,6.06872428280931
Acropora_000381,6.942254809709575
Acropora_000382,7.462272571026581
Acropora_000390,6.06872428280931
Acropora_000392,6.223046340464026
Acropora_000395,6.942254809709575
Acropora_000396,7.5195717844288135
Acropora_000398,6.06872428280931
Acropora_000402,7.901938955769543
Acropora_000403,6.06872428280931
Acropora_000407,6.889073626325562
Acropora_000411,6.735761960103669
Acropora_000413,7.34577760620491
Acropora_000417,6.06872428280931
Acropora_000420,6.875168775735312
Acropora_000421,9.187749719186764
Acropora_000422,6.335764003414168
Acropora_000433,6.06872428280931
Acropora_000435,6.376929150798669
Acropora_000443,6.889073626325562
Acropora_000445,6.600550098974144
Acropora_000446,8.704279071848832
Acropora_000449,6.7855089078558395
Acropora_000454,9.46820758961243
Acropora_000457,6.445840252729181
Acropora_000469,7.038951583854869
Acropora_000470,7.462272571026581
Acropora_000471,7.146118664078537
Acropora_000475,6.335764003414168
Acropora_000476,6.503770889236268
Acropora_000479,6.801284460174952
Acropora_000480,6.816699912904361
Acropora_000486,7.015825841024111
Acropora_000492,6.06872428280931
Acropora_000497,8.026368141967406
Acropora_000499,8.720559963590242
Acropora_000500,7.004017824214524
Acropora_000501,7.711594485806869
Acropora_000503,6.445840252729181
Acropora_000508,6.801284460174952
Acropora_000512,6.979879294002503
Acropora_000514,6.578146067130448
Acropora_000515,6.600550098974144
Acropora_000516,6.06872428280931
Acropora_000519,7.6448709078706205
Acropora_000534,7.337527113652555
Acropora_000535,6.06872428280931
Acropora_000536,7.214237220083467
Acropora_000537,7.785855824345013
Acropora_000543,6.06872428280931
Acropora_000546,6.06872428280931
Acropora_000556,6.335764003414168
Acropora_000564,8.235999036359303
Acropora_000566,6.06872428280931
Acropora_000572,8.285371828221711
Acropora_000573,6.06872428280931
Acropora_000574,6.06872428280931
Acropora_000575,6.06872428280931
Acropora_000580,7.921910405903086
Acropora_000581,7.156161090892288
Acropora_000584,7.417209119779403
Acropora_000587,6.06872428280931
Acropora_000590,6.06872428280931
Acropora_000592,6.06872428280931
Acropora_000594,7.146118664078537
Acropora_000596,7.320822642997322
Acropora_000601,6.642628329400155
Acropora_000605,7.547137693126401
Acropora_000608,6.475864360144981
Acropora_000609,6.223046340464026
Acropora_000610,6.06872428280931
Acropora_000612,6.600550098974144
Acropora_000613,7.4474615646962965
Acropora_000616,6.554665750878717
Acropora_000617,8.192713778996385
Acropora_000626,7.125695651075269
Acropora_000628,6.06872428280931
Acropora_000633,7.185649220735008
Acropora_000647,7.125695651075269
Acropora_000648,6.06872428280931
Acropora_000649,6.735761960103669
Acropora_000656,6.06872428280931
Acropora_000658,6.662496331467251
Acropora_000664,6.06872428280931
Acropora_000667,6.554665750878717
Acropora_000677,6.831777206445722
Acropora_000679,8.70154668371456
Acropora_000680,7.370138151723787
Acropora_000681,7.941564619458831
Acropora_000688,6.286864832792452
Acropora_000694,6.06872428280931
Acropora_000698,6.06872428280931
Acropora_000703,6.816699912904361
Acropora_000706,6.223046340464026
Acropora_000708,6.335764003414168
Acropora_000710,9.15853730393052
Acropora_000712,6.916128395207512
Acropora_000716,6.06872428280931
Acropora_000717,6.600550098974144
Acropora_000720,6.92930224327366
Acropora_000724,7.0941638599624826
Acropora_000726,6.475864360144981
Acropora_000727,7.2600630333813125
Acropora_000728,6.06872428280931
Acropora_000729,6.554665750878717
Acropora_000730,7.038951583854869
Acropora_000732,7.855780688373489
Acropora_000739,6.06872428280931
Acropora_000746,6.06872428280931
Acropora_000755,7.320822642997322
Acropora_000756,7.7634965257619735
Acropora_000757,6.942254809709575
Acropora_000758,10.0031317287229
Acropora_000761,7.926853252593246
Acropora_000765,7.34577760620491
Acropora_000778,8.378890888800633
Acropora_000779,6.889073626325562
Acropora_000782,6.06872428280931
Acropora_000784,6.06872428280931
Acropora_000785,6.718269447106134
Acropora_000786,6.445840252729181
Acropora_000787,6.642628329400155
Acropora_000794,6.286864832792452
Acropora_000796,7.3860652433256755
Acropora_000799,9.775339484764165
Acropora_000800,6.06872428280931
Acropora_000804,6.554665750878717
Acropora_000806,13.072318674509537
Acropora_000819,6.816699912904361
Acropora_000832,7.135964613034424
Acropora_000834,8.42999189598593
Acropora_000841,7.8918305907934085
Acropora_000862,7.5195717844288135
Acropora_000867,6.06872428280931
Acropora_000868,6.600550098974144
Acropora_000880,6.642628329400155
Acropora_000887,7.268974451789343
Acropora_000904,6.06872428280931
Acropora_000937,7.5195717844288135
Acropora_000940,6.06872428280931
Acropora_000943,6.06872428280931
Acropora_000962,6.718269447106134
Acropora_000970,6.335764003414168
Acropora_000974,7.061462071433767
Acropora_000981,10.77559644345626
Acropora_000982,6.06872428280931
Acropora_000984,6.376929150798669
Acropora_000988,6.06872428280931
Acropora_000991,6.06872428280931
Acropora_000992,6.06872428280931
Acropora_000998,7.175923451323854
Acropora_001006,6.06872428280931
Acropora_001008,6.376929150798669
Acropora_001009,6.06872428280931
Acropora_001021,6.06872428280931
Acropora_001032,6.06872428280931
Acropora_001043,6.06872428280931
Acropora_001066,6.70025939099947
Acropora_001070,6.06872428280931
Acropora_001078,7.038951583854869
Acropora_001080,7.7578406101088335
Acropora_001087,8.208620852388727
Acropora_001091,6.06872428280931
Acropora_001096,6.06872428280931
Acropora_001102,6.718269447106134
Acropora_001108,6.06872428280931
Acropora_001110,7.125695651075269
Acropora_001113,9.309531066324842
Acropora_001114,6.718269447106134
Acropora_001120,6.979879294002503
Acropora_001121,6.475864360144981
Acropora_001132,8.375413444757424
Acropora_001140,6.831777206445722
Acropora_001144,6.06872428280931
Acropora_001146,6.286864832792452
Acropora_001148,6.681686024153914
Acropora_001152,7.533440473846307
Acropora_001157,6.06872428280931
Acropora_001159,7.370138151723787
Acropora_001161,6.06872428280931
Acropora_001163,7.3860652433256755
Acropora_001176,8.300197382593389
Acropora_001177,7.072499768163494
Acropora_001180,6.06872428280931
Acropora_001184,6.529944592115023
Acropora_001188,6.816699912904361
Acropora_001194,6.90272267940201
Acropora_001209,9.856979947659937
Acropora_001215,6.06872428280931
Acropora_001220,7.156161090892288
Acropora_001225,6.06872428280931
Acropora_001236,7.0941638599624826
Acropora_001240,7.175923451323854
Acropora_001257,7.104799002579382
Acropora_001258,6.06872428280931
Acropora_001261,6.06872428280931
Acropora_001270,6.578146067130448
Acropora_001282,6.503770889236268
