"","ID_1087","ID_1089","ID_1090","ID_1091","ID_1092","ID_1097","ID_1098","ID_1099","ID_2263","ID_2265","ID_2266","ID_2267","ID_2268","ID_2382","ID_2383","ID_2384"
"MSTRG.33824",4,2133,807,901,468,39,102,370,1554,1261,720,1360,1348,634,1,493
"MSTRG.36819",5,616,793,793,336,84,145,405,682,603,940,468,358,127,0,297
"MSTRG.35893",2,781,2097,1647,1104,154,167,704,702,686,845,861,1510,300,4,472
"MSTRG.35892",0,13466,6386,3858,2917,124,49,251,5695,5148,7694,7527,4537,3005,0,1157
"MSTRG.46579",10,557,385,611,374,173,84,133,614,560,898,440,621,253,29,344
"MSTRG.24155",2,1587,1540,1943,2005,256,586,1639,2035,1357,2219,1742,1907,1054,1,1250
"MSTRG.24152",4,11652,4330,3177,751,670,695,2532,330,1255,546,696,601,377,4,116
"MSTRG.20892",6,4810,3080,2321,1692,64,39,649,2861,5506,2386,7724,8471,2155,0,1724
"MSTRG.20896",29,792,1044,319,428,16,6,7,394,658,424,340,376,189,0,18
"MSTRG.15832",2,192,394,299,117,43,10,149,376,14,556,174,234,78,0,104
"MSTRG.5295",3,1716,491,360,395,15,2,175,784,652,887,1044,1398,324,10,478
"MSTRG.38588",4,374,165,53,206,144,35,119,213,124,335,247,32,53,31,121
"MSTRG.12209",11,244,115,409,159,6,2,79,286,84,257,278,152,123,23,244
"MSTRG.28389",11,506,473,313,266,33,12,78,333,298,321,521,461,266,84,88
"MSTRG.28388",12,801,667,369,535,50,9,256,489,726,440,689,1182,426,9,223
"MSTRG.28657",0,805,517,786,619,37,14,214,560,716,367,846,518,526,2,221
"MSTRG.22906",17,2472,2231,1055,1036,68,51,133,1752,3224,2764,3788,3486,1286,4,183
"MSTRG.4224",1,524,983,1508,621,310,43,490,30,254,339,365,375,121,19,291
"MSTRG.25786",0,217,325,776,309,27,39,239,1016,560,391,297,318,34,10,52
"MSTRG.45816",1,174,392,944,464,266,118,404,138,169,614,148,7,58,1,146
"MSTRG.24504",0,759,651,143,367,14,23,178,380,463,141,286,290,166,0,13
"MSTRG.44075",0,730,580,256,197,8,7,178,264,331,516,323,204,180,0,46
"MSTRG.42892",6,5874,4170,1907,1680,149,18,271,2892,2000,5287,4799,4856,2285,1,578
"MSTRG.13610",8,591,356,640,195,55,0,31,379,417,165,280,529,241,0,45
"MSTRG.13616",1,2199,1180,436,882,13,10,215,979,906,1677,1939,1745,736,0,324
"MSTRG.38787",6,403,611,263,270,8,12,121,293,147,519,579,335,118,0,72
"MSTRG.7224",2,93,800,1219,1074,439,523,873,41,142,758,170,145,9,0,241
"MSTRG.36829",21,18059,10703,10901,7507,2501,1940,5700,10845,9322,13517,16453,11425,5997,2,2853
"MSTRG.44387",7,7089,5436,4797,4210,145,10,1868,5889,6171,6429,11589,7476,3422,13,4790
"MSTRG.18884",12,203,168,66,73,30,0,81,208,88,295,93,161,27,4,49
"MSTRG.27250",10,664,268,585,219,20,0,173,186,382,380,292,96,216,0,132
"MSTRG.28560",9,1174,641,291,376,20,72,246,439,156,477,672,502,283,2,384
"MSTRG.34080",11,2822,1076,821,789,8,40,444,1009,739,2443,2938,1401,623,0,408
"MSTRG.34926",3,550,349,401,521,32,0,90,546,618,589,805,450,202,19,163
"MSTRG.44924",0,440,276,192,110,0,72,40,214,190,228,80,149,124,13,89
"MSTRG.685",4,1956,1349,1148,1253,13,6,297,1422,1704,1802,2512,2048,646,20,982
"MSTRG.687",9,2732,2733,3150,1592,118,0,805,2180,2875,3422,3465,3329,820,0,949
"MSTRG.974",17,5111,4075,3897,2315,93,204,1227,3399,3645,5920,4668,3595,1180,57,965
"MSTRG.972",59,19091,14212,10620,9044,1110,314,6478,10738,13252,13414,18988,20083,3768,160,4431
"MSTRG.971",34,18832,11915,8849,9435,517,180,3690,12465,18065,16252,23975,25115,3292,41,2376
"MSTRG.978",4,11336,15016,6722,4277,9,168,406,6112,6324,18328,10808,12723,3264,3,773
"MSTRG.30330",4,3126,3237,4070,2825,667,216,2083,3341,3388,3961,4067,2821,1586,0,3276
"MSTRG.30332",1,3685,1960,1757,1628,119,46,637,1731,2071,2183,3387,3294,1096,0,550
"MSTRG.21039",6,449,141,327,157,70,0,86,465,788,503,873,495,321,6,349
"MSTRG.30593",7,490,318,271,192,11,42,212,317,352,473,603,418,258,1,167
"MSTRG.31111",0,4871,3200,3223,2533,33,7,1192,2584,4095,3875,5942,5585,1733,2,1332
"MSTRG.36996",9,1058,350,758,273,4,0,92,651,764,468,1546,758,327,6,101
"MSTRG.38842",0,506,2710,1343,902,73,49,406,584,529,1103,245,543,132,0,195
"MSTRG.23506",12,2768,1209,1072,289,412,39,1054,829,1084,1322,1802,1477,499,51,841
"MSTRG.13505",4,1910,2019,1243,1115,232,57,823,2111,2625,1837,3862,2712,1228,34,1877
"MSTRG.36930",10,1713,1225,644,546,236,223,435,1016,1512,1282,2102,1765,609,49,482
"MSTRG.27854",0,311,221,366,230,111,51,283,159,117,515,92,49,12,0,206
"MSTRG.25904",8,864,515,294,370,36,34,152,639,340,774,750,522,249,0,125
"MSTRG.27857",0,265,199,1214,317,62,27,25,153,109,198,405,760,287,0,20
"MSTRG.7473",1,1032,506,199,601,17,7,113,916,1276,930,798,1039,560,0,323
"MSTRG.25017",0,930,843,1042,522,22,0,357,514,316,1155,1029,718,395,9,244
"MSTRG.25018",27,829,808,554,410,140,9,680,693,318,544,773,788,296,7,51
"MSTRG.19046",13,524,312,330,156,33,0,56,101,533,112,303,304,137,8,13
"MSTRG.19043",0,399,421,127,189,9,20,6,232,131,52,390,120,195,0,16
"MSTRG.19049",2,790,622,457,232,182,183,312,921,832,980,1036,981,321,0,372
"MSTRG.17195",5,2651,1451,1422,1126,23,0,486,2784,2297,2275,3424,1797,974,33,446
"MSTRG.27362",3,3772,2760,1748,1658,45,11,552,2291,4173,3075,4555,3575,1642,0,674
"MSTRG.8007",0,534,2102,1661,1040,374,560,955,784,400,1360,295,404,120,0,484
"MSTRG.3058",3,452,198,26,243,12,14,124,287,202,545,205,102,86,0,137
"MSTRG.8008",11,1533,950,989,606,23,38,207,938,757,1013,1987,1270,412,0,296
"MSTRG.9759",14,261,107,161,92,75,5,59,179,148,59,249,370,215,0,236
"MSTRG.3587",2,1138,632,949,560,9,17,25,1282,687,934,1679,851,665,0,142
"MSTRG.1696",3,343,396,127,105,25,6,153,191,148,419,603,703,171,0,77
"MSTRG.15294",10,673,1087,217,271,0,51,570,429,494,676,933,844,324,26,95
"MSTRG.15293",0,270,1231,1388,856,190,76,500,288,44,798,331,34,17,0,282
"MSTRG.4053",5,3170,900,930,405,12,28,436,576,715,484,834,1219,417,0,229
"MSTRG.39083",1,344,1776,3274,1312,195,23,825,433,207,1301,273,265,64,0,804
"MSTRG.18763",66,31507,31870,56198,34038,5091,993,25552,45239,27740,57291,27363,23090,15103,0,27049
"MSTRG.39623",12,769,481,361,526,34,104,624,473,417,651,960,452,255,0,439
"MSTRG.6968",13,250,194,206,286,7,1,53,764,224,1013,534,608,256,15,132
"MSTRG.6960",3,325,252,149,149,20,6,68,426,356,220,551,374,205,0,157
"MSTRG.32413",7,1125,568,483,415,61,0,59,903,836,1363,1743,904,375,0,194
"MSTRG.9035",0,512,1856,843,557,135,183,665,356,325,750,281,795,130,0,496
"MSTRG.12362",15,3700,1773,1454,1288,240,9,1009,2341,1749,4208,6811,5169,1346,26,1092
"MSTRG.18749",4,1623,1469,1630,652,32,12,213,953,676,916,555,585,295,3,217
"MSTRG.10598",14,496,857,533,404,57,23,133,485,405,222,741,851,253,23,172
"MSTRG.36416",3,934,1015,279,235,12,8,129,785,742,541,696,1490,462,2,167
"MSTRG.31291",2,930,595,1293,636,39,10,163,790,517,797,1007,461,268,0,344
"MSTRG.13023",39,4782,22,889,527,215,17,537,1105,628,1316,1753,1081,446,3,288
"MSTRG.31874",0,1002,612,125,125,21,50,68,55,119,159,438,82,43,0,16
"MSTRG.35143",0,1141,925,519,394,32,7,178,834,1205,495,777,1257,335,1,204
"MSTRG.25311",22,997,348,532,690,55,34,179,355,151,487,934,488,194,0,220
"MSTRG.5554",0,246,404,539,394,53,48,97,142,288,532,336,124,92,0,123
"MSTRG.5553",7,827,796,419,445,104,13,718,811,502,509,873,604,354,20,507
"MSTRG.18836",5,446,455,481,167,70,21,170,630,580,321,503,271,228,0,250
"MSTRG.27206",4,303,320,647,270,92,59,246,493,49,645,312,265,173,0,253
"MSTRG.10215",1,187,594,212,127,6,6,163,273,376,743,579,517,85,0,87
"MSTRG.41871",8,6492,3442,2236,2377,122,2,634,2121,3628,3577,5805,6208,1922,7,677
"MSTRG.10776",14,6928,4751,2227,1964,112,22,1714,4017,3777,7215,12403,9638,3191,32,1941
"MSTRG.12736",3,5445,1742,2436,2198,140,8,703,3800,4164,5233,6832,5511,1735,8,2089
"MSTRG.12739",0,233,259,336,206,11,52,303,212,176,450,311,357,80,0,130
"MSTRG.17014",6,560,697,621,380,34,44,457,437,944,355,1045,1178,209,29,324
"MSTRG.17010",5,4359,2289,1107,1521,491,76,1168,1284,1018,1675,1212,1500,555,32,393
"MSTRG.44759",56,8860,8791,5399,5147,280,156,1862,17551,12666,18608,19465,16059,10622,133,8664
"MSTRG.19364",22,271,461,831,402,34,58,131,4,182,244,285,50,21,0,61
"MSTRG.40045",9,2219,904,569,806,14,7,280,1204,1588,913,1660,2171,1184,26,190
"MSTRG.32650",15,195,259,197,153,5,1,83,162,129,210,299,225,78,26,139
"MSTRG.32659",22,534,326,130,434,84,13,215,473,339,438,804,451,108,0,240
"MSTRG.12991",2,226,1060,1402,994,360,328,580,622,124,1682,540,145,221,0,181
"MSTRG.32383",4,153,66,57,23,24,20,19,102,47,157,9,195,61,0,51
"MSTRG.45409",14,1210,11260,3432,3933,439,1382,1534,944,1684,5485,2276,1254,309,1,921
"MSTRG.43807",2,240,138,70,23,23,6,16,81,210,19,63,92,38,7,13
"MSTRG.7011",11,95,46,126,105,111,43,47,196,111,194,69,147,76,74,241
"MSTRG.22144",8,584,253,657,395,65,40,131,345,213,532,628,342,232,8,106
"MSTRG.43466",10,7636,5274,6292,5736,211,144,940,8667,9669,12646,10697,10746,4796,1,2411
"MSTRG.40868",5,954,595,179,265,70,52,99,241,380,510,784,949,265,1,138
"MSTRG.5716",10,318,378,312,227,760,316,353,199,260,175,261,297,60,75,131
"MSTRG.37147",0,224,264,387,297,105,184,79,75,253,206,192,36,35,0,96
"MSTRG.7719",0,364,889,446,179,206,130,63,270,63,172,380,145,148,0,59
"MSTRG.45152",6,31,471,343,248,97,70,411,56,9,105,52,3,24,0,72
"MSTRG.31885",0,5400,4290,1913,1430,65,34,551,4110,5782,10236,10795,10638,2548,0,1578
"MSTRG.15780",7,525,311,662,263,0,0,231,461,6,837,315,179,192,7,78
"MSTRG.44414",3,953,1307,1399,1053,53,7,434,1071,1314,2347,1300,508,271,0,776
"MSTRG.198",13,1650,495,424,188,23,8,180,63,330,196,145,87,49,0,158
"MSTRG.37979",40,367,181,52,187,9,49,45,71,39,25,31,122,115,115,28
"MSTRG.37975",0,305,1861,1656,540,34,7,154,271,173,684,309,36,42,5,576
"MSTRG.31486",7,978,833,602,649,18,1,118,629,626,1122,1277,1284,360,0,312
"MSTRG.31487",3,5429,2189,1373,1140,50,32,320,1825,3669,2095,3408,4142,1286,1,662
"MSTRG.36626",10,546,499,156,261,20,19,172,364,403,503,297,510,64,0,57
"MSTRG.8579",4,474,307,392,289,30,18,10,412,378,870,997,1019,170,13,82
"MSTRG.28797",13,4834,2808,1868,1281,247,35,525,2411,2977,2720,4069,3400,1283,56,683
"MSTRG.29167",6,1780,1517,1118,927,35,10,205,985,1543,1752,2006,1426,626,31,288
"MSTRG.33332",1,1009,651,107,177,23,6,96,217,55,465,875,861,215,1,224
"MSTRG.24294",31,2364,2068,1438,1044,20,97,736,1462,1362,2395,2613,1888,690,36,306
"MSTRG.24299",2,186,2074,2647,1044,3616,995,3383,80,184,651,279,83,29,0,916
"MSTRG.14445",13,209,367,188,110,102,113,120,297,248,320,380,442,106,0,187
"MSTRG.46760",2,416,530,902,353,48,28,346,142,269,190,194,41,31,0,47
"MSTRG.27018",4,3920,2165,1043,253,91,68,276,672,443,666,825,458,199,0,310
"MSTRG.10922",0,2672,2471,1235,1277,16,66,250,2260,3027,2625,4671,2795,1360,3,886
"MSTRG.13699",7,737,387,239,177,1,42,46,274,359,742,703,754,83,0,173
"MSTRG.17939",1,791,579,328,243,26,28,22,449,317,287,595,612,217,0,42
"MSTRG.38702",1,688,795,676,851,106,9,467,468,548,615,738,803,338,1,216
"MSTRG.38704",2,196,394,386,237,18,30,117,345,267,512,223,240,166,0,145
"MSTRG.14462",5,362,587,274,170,20,53,132,113,311,622,467,1015,114,88,298
"MSTRG.42076",10,4417,2183,1383,974,754,48,1450,1065,1575,1072,2396,2722,798,39,1083
"MSTRG.19755",263,1706,3734,1067,986,389,685,1243,2823,3545,3078,3983,5035,1546,52,1299
"MSTRG.18802",23,21378,9291,6467,5121,84,71,376,2152,4772,5830,6839,9012,1899,22,366
"MSTRG.45300",9,3200,7057,7037,3460,888,626,4304,1537,1083,3623,1256,833,263,0,1081
"MSTRG.7998",1,331,1150,179,91,19,76,341,308,279,199,439,225,154,1,85
"MSTRG.3293",0,137,30,10,36,73,56,7,6,46,17,13,37,100,0,130
"MSTRG.9848",0,2055,6281,806,1502,1508,1436,1757,1360,1469,2242,2043,2122,1139,0,481
"MSTRG.9849",2,684,445,406,370,94,15,481,347,491,679,542,819,142,7,243
"MSTRG.606",3,4009,2733,2204,1545,52,27,867,1853,1588,2263,4601,3627,1222,22,1479
"MSTRG.9592",3,742,409,109,274,67,51,113,412,158,181,264,1098,296,0,113
"MSTRG.41107",1,315,28,140,51,13,11,60,248,105,93,242,98,137,0,46
"MSTRG.21741",4,199,326,39,113,34,18,45,209,336,88,158,362,116,0,28
"MSTRG.21746",9,5533,771,1761,221,106,9,743,593,548,2829,5239,8636,2984,0,1647
"MSTRG.9334",13,88,20,78,134,28,0,7,37,24,295,67,229,24,2,79
"MSTRG.30515",102,1670,1506,935,904,105,15,232,1476,1766,1757,1814,2598,1005,1,384
"MSTRG.39131",1,1530,534,469,461,6,0,44,766,915,1078,1369,1553,361,10,231
"MSTRG.4214",8,474,348,210,227,26,6,93,342,707,156,580,418,147,1,54
"MSTRG.7508",0,1435,885,671,542,33,16,136,944,1471,1228,2213,1859,707,0,530
"MSTRG.29363",19,1785,1344,982,807,45,24,219,1220,1508,1803,1370,1582,575,0,665
"MSTRG.35208",0,2003,1176,644,376,23,33,394,526,648,473,894,917,159,0,95
"MSTRG.32920",15,5033,2635,1370,2067,108,22,919,3340,3144,3822,5062,4471,1615,94,1318
"MSTRG.36008",5,407,161,282,260,127,13,254,359,100,494,694,697,185,8,133
"MSTRG.36005",4,418,229,227,326,56,15,274,262,563,232,409,93,137,0,16
"MSTRG.36000",8,589,346,156,223,31,0,79,326,458,557,783,503,206,0,240
"MSTRG.8853",0,24,130,141,175,28,18,167,86,203,68,18,56,6,0,31
