	1087_trimmed	1088_trimmed	1089_trimmed	1090_trimmed	1091_trimmed	1092_trimmed	1096_trimmed	1097_trimmed	1098_trimmed	1099_trimmed	1100_trimmed	2263_trimmed	2264_trimmed	2265_trimmed	2266_trimmed	2267_trimmed	2268_trimmed	2382_trimmed	2383_trimmed	2384_trimmed	
Acropora_000153	0	0	31	181	115	76	69	0	0	105	0	79	0	47	107	56	20	53	0	40	
Acropora_000154	0	5	1192	1527	1753	1226	836	183	29	789	0	745	0	612	1296	1008	654	313	0	522	
Acropora_000155	4	0	239	666	471	535	248	167	97	286	0	493	0	539	616	512	475	210	54	320	
Acropora_000156	0	0	98	124	73	122	95	0	0	31	0	202	0	352	150	166	371	143	0	65	
Acropora_000157	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Acropora_000158	0	0	14	114	116	94	86	0	54	53	0	9	0	0	62	18	0	16	0	36	
Acropora_000159	0	0	0	41	77	26	6	0	0	0	0	0	0	46	33	12	19	0	0	26	
Acropora_000160	45	2	2227	4720	3276	2267	2096	1749	2195	2118	0	2023	0	1545	2666	2528	1410	885	0	1324	
Acropora_000161	3	0	912	1585	1739	1430	851	390	479	990	0	817	0	744	1832	877	340	273	0	989	
Acropora_000162	28	1	2481	1500	1624	1349	1343	148	197	575	0	1358	0	1575	1917	2420	1791	919	12	769	
Acropora_000165	0	0	26	172	64	19	22	0	0	19	0	2	0	4	10	46	18	16	0	39	
Acropora_000168	0	0	0	18	0	0	29	0	0	0	0	0	0	0	0	22	11	15	0	0	
Acropora_000169	0	0	7	21	0	0	0	0	0	0	0	0	0	0	0	57	41	6	0	0	
Acropora_000171	0	0	38	23	0	0	0	0	0	12	0	0	0	0	58	20	78	0	0	0	
Acropora_000173	0	0	0	23	16	13	0	0	0	9	0	0	0	0	8	0	22	0	0	0	
Acropora_000174	0	0	0	8	0	17	0	0	0	0	0	0	0	0	1	8	0	0	0	1	
Acropora_000175	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	
Acropora_000178	0	0	1	7	1	6	3	0	59	56	0	27	0	1	0	16	0	2	0	35	
Acropora_000179	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Acropora_000180	1	0	153	118	67	26	82	13	0	3	0	101	0	44	50	65	147	103	0	25	
Acropora_000181	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	5	0	0	0	
Acropora_000182	0	0	83	401	259	180	138	26	97	186	0	109	0	58	362	238	120	38	0	90	
Acropora_000183	0	0	10	72	145	124	12	0	43	70	0	32	0	46	83	63	2	0	0	90	
Acropora_000184	0	0	243	129	158	23	187	0	0	96	0	59	0	154	233	79	269	62	0	0	
Acropora_000185	0	0	0	9	0	83	34	0	0	32	0	0	0	0	64	11	4	0	0	26	
Acropora_000187	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	
Acropora_000189	0	0	14	74	12	1	13	0	0	2	0	34	0	31	24	67	70	11	0	14	
Acropora_000190	0	0	0	27	38	15	3	0	0	60	0	0	0	52	0	0	5	0	0	0	
Acropora_000191	0	0	5	18	8	22	17	0	6	0	0	14	0	1	20	12	0	6	0	0	
Acropora_000192	0	0	31	23	4	62	34	0	0	29	0	127	0	28	29	0	19	7	0	28	
Acropora_000193	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	
Acropora_000194	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	11	0	0	
Acropora_000195	0	0	44	8	37	33	0	0	0	0	0	11	0	0	1	0	14	0	0	0	
Acropora_000196	0	0	44	78	400	162	92	17	25	131	0	32	0	0	117	72	27	7	0	117	
Acropora_000198	0	0	0	0	14	13	7	0	0	35	0	0	0	0	10	11	0	0	0	0	
Acropora_000199	0	0	0	2	14	12	9	0	0	0	0	14	0	0	0	0	0	0	0	0	
Acropora_000201	42	0	25191	15587	7700	8989	12355	1055	223	5828	0	12981	0	13952	7826	16832	20430	8530	128	4713	
Acropora_000202	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	56	
Acropora_000203	0	0	87	85	111	111	52	0	0	10	0	61	0	0	148	35	29	29	0	0	
Acropora_000204	0	0	0	4	0	2	0	0	0	0	0	0	0	0	27	0	0	16	0	53	
Acropora_000205	0	0	267	302	464	478	295	31	233	227	0	246	0	446	435	92	253	92	0	101	
Acropora_000206	0	0	11	0	21	36	0	0	0	0	0	0	0	59	0	33	15	7	0	0	
Acropora_000207	2	0	113	168	125	104	164	0	17	84	0	155	0	216	195	210	171	89	0	257	
Acropora_000208	0	0	923	1862	1992	1165	874	41	0	328	0	678	0	1109	1268	1429	628	286	0	497	
Acropora_000209	90	2	4130	1135	799	3130	1294	1370	186	2808	0	2197	0	3625	2338	1721	3122	1544	42	848	
Acropora_000210	0	0	16	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	
Acropora_000211	0	0	29	161	126	79	13	14	39	415	0	15	0	173	12	0	3	4	0	30	
Acropora_000212	0	0	249	408	363	302	214	0	27	65	0	324	0	208	459	389	249	103	1	99	
Acropora_000213	0	0	1250	1290	1290	1051	934	149	32	784	0	1369	0	1668	1534	1427	1272	675	1	844	
Acropora_000215	0	0	28	80	306	38	13	0	0	37	0	21	0	70	107	38	0	0	0	26	
Acropora_000216	0	0	0	0	52	0	7	0	9	37	0	0	0	0	65	5	0	0	0	0	
Acropora_000217	0	0	2	26	0	8	8	0	0	52	0	22	0	0	67	0	0	2	0	56	
Acropora_000218	5	0	208	136	217	147	127	0	184	88	0	127	0	11	180	148	194	46	0	53	
Acropora_000219	0	0	0	140	192	67	27	145	122	302	0	60	0	67	28	11	17	7	0	347	
Acropora_000221	0	0	83	25	122	108	78	0	0	3	0	45	0	16	47	135	40	35	0	6	
Acropora_000222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	
Acropora_000223	0	0	10	0	29	33	28	0	43	46	0	0	0	0	130	0	0	0	0	0	
Acropora_000224	0	0	1073	231	244	257	356	0	0	0	0	300	0	1033	155	191	424	177	0	0	
Acropora_000225	0	0	27	0	18	6	19	6	7	71	0	0	0	0	11	30	0	0	0	17	
Acropora_000226	0	105	65	58	220	66	56	12	0	54	0	40	0	32	37	15	9	0	0	47	
Acropora_000227	0	0	8	38	14	56	0	0	0	51	0	2	0	0	0	0	0	0	0	6	
Acropora_000228	0	0	12	8	7	37	70	0	0	0	0	40	0	51	1	0	18	0	0	0	
Acropora_000229	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	
Acropora_000230	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	
Acropora_000231	3	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	
Acropora_000233	0	0	183	109	58	170	96	0	25	15	0	94	0	134	5	2	97	23	0	21	
Acropora_000234	4	0	690	740	556	645	376	14	109	290	0	540	0	340	306	598	412	383	13	209	
Acropora_000235	0	0	0	4	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	
Acropora_000236	0	0	117	784	1144	910	307	553	874	1407	0	305	0	257	243	151	39	46	0	212	
Acropora_000237	0	0	18	766	1426	1243	71	406	328	1060	0	127	0	138	884	454	12	10	0	1140	
Acropora_000238	0	0	0	46	25	46	0	0	0	106	0	47	0	0	75	0	0	0	0	0	
Acropora_000239	0	0	24	231	610	518	55	581	54	303	0	52	0	34	279	104	0	13	0	460	
Acropora_000240	0	0	0	0	7	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Acropora_000241	0	0	29	0	137	24	11	0	0	0	0	7	0	0	231	103	0	6	0	17	
Acropora_000242	9	0	517	332	232	283	224	81	1	100	0	516	0	693	405	578	615	201	0	32	
Acropora_000243	0	0	639	498	405	252	194	2	0	93	0	527	0	675	338	618	583	315	0	100	
Acropora_000244	9	0	1435	1814	1509	961	2388	176	103	837	0	1330	0	1370	1421	1716	1448	724	47	453	
Acropora_000245	5	0	7896	7467	6645	5785	8783	436	1121	3392	0	5980	0	4253	8079	6931	5624	2519	19	3503	
Acropora_000246	0	0	146	176	44	54	92	2	6	165	0	106	0	351	155	200	179	76	2	67	
Acropora_000247	0	0	36	17	98	20	12	0	2	23	0	80	0	67	272	160	156	52	0	86	
Acropora_000248	0	0	0	30	0	0	12	0	0	0	0	13	0	0	45	0	0	0	0	0	
Acropora_000249	0	0	47	257	433	318	83	85	76	732	0	161	0	70	167	138	113	23	0	599	
Acropora_000250	0	0	5	10	0	0	18	0	0	0	0	1	0	0	0	0	0	0	0	28	
Acropora_000251	0	0	18	0	0	12	1	0	0	0	0	0	0	8	0	0	0	0	0	0	
Acropora_000252	4	0	1281	972	1001	610	814	143	34	428	0	738	0	807	708	1000	1177	490	42	298	
Acropora_000253	0	0	76	147	296	148	28	1	42	16	0	32	0	0	122	47	25	10	0	35	
Acropora_000254	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	11	
Acropora_000255	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
Acropora_000257	0	0	0	29	13	12	0	95	0	0	0	0	0	0	26	0	0	0	0	60	
Acropora_000258	0	0	14	28	185	69	0	1	0	48	0	39	0	62	81	77	40	0	0	4	
Acropora_000259	0	0	16	11	39	28	1	0	0	0	0	14	0	0	41	6	53	7	0	20	
Acropora_000260	0	0	9	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
Acropora_000261	1	0	1561	2600	2366	1644	1116	1130	788	1481	0	930	0	913	1821	969	1156	359	0	642	
Acropora_000262	6	34	202	137	86	88	391	22	4	156	0	155	0	227	190	316	89	162	0	206	
Acropora_000263	0	0	95	166	216	133	220	1	160	13	0	165	0	254	374	243	117	54	0	82	
Acropora_000264	1	0	456	181	206	149	391	53	10	206	0	1243	0	717	1544	919	879	1238	29	1835	
Acropora_000265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	
Acropora_000268	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Acropora_000270	6	0	238	313	339	148	393	1	24	89	0	148	0	200	330	247	44	55	0	52	
Acropora_000271	0	0	1	2	6	0	11	0	0	0	0	0	0	0	0	2	4	0	0	0	
Acropora_000272	0	0	175	108	185	68	353	0	0	37	0	154	0	72	126	185	217	36	0	2	
Acropora_000274	0	0	0	1	36	0	0	0	0	0	0	9	0	0	18	0	12	0	0	0	
Acropora_000277	0	0	0	0	2	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	
Acropora_000279	0	0	13	0	0	0	2	0	0	0	0	17	0	0	85	0	0	0	0	10	
Acropora_000282	1	0	52	116	96	25	48	0	0	49	0	85	0	185	105	57	150	25	2	54	
Acropora_000283	0	0	14	0	18	13	0	0	0	29	0	0	0	0	36	0	0	0	0	26	
Acropora_000285	0	0	90	63	153	148	72	0	50	134	0	1	0	2	240	1	4	5	0	90	
Acropora_000286	0	0	17	76	89	161	38	0	0	36	0	2	0	98	272	29	3	0	0	64	
Acropora_000287	0	0	0	10	24	0	23	0	0	0	0	4	0	0	10	11	1	0	0	8	
Acropora_000289	0	0	0	11	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Acropora_000290	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Acropora_000291	0	0	544	108	66	57	171	31	0	20	0	136	0	128	304	383	277	156	0	78	
Acropora_000293	0	0	257	36	47	33	9	13	0	172	0	30	0	203	84	348	80	99	1	183	
Acropora_000294	0	0	0	0	18	0	0	0	0	0	0	3	0	0	6	0	0	0	0	0	
Acropora_000296	3	18	629	668	252	214	87	197	105	81	0	236	0	116	567	1153	1169	343	10	536	
Acropora_000297	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Acropora_000298	0	0	11	201	235	41	3	224	3	205	0	14	0	0	196	79	8	18	0	211	
Acropora_000299	0	0	0	3	0	0	12	0	0	0	0	2	0	67	13	20	28	5	0	38	
Acropora_000301	0	0	0	23	48	15	1	11	79	61	0	1	0	0	20	19	14	0	0	0	
Acropora_000302	0	0	338	307	211	241	104	1	0	143	0	329	0	425	168	252	188	147	0	29	
Acropora_000304	0	0	159	51	114	70	237	0	0	0	0	177	0	82	148	60	83	6	0	7	
Acropora_000305	0	0	18	130	235	81	82	10	0	314	0	35	0	0	186	65	0	24	104	143	
Acropora_000306	0	0	5	0	0	9	10	0	0	0	0	0	0	0	0	25	0	0	0	23	
Acropora_000307	0	0	88	46	49	36	109	0	0	67	0	14	0	34	184	11	43	30	0	0	
Acropora_000308	2	0	309	691	1168	803	729	111	6	331	0	511	0	422	909	648	150	125	0	357	
Acropora_000309	17	0	151	66	200	114	66	0	0	107	0	100	0	69	234	174	179	47	0	39	
Acropora_000310	6	0	93	72	135	19	195	0	0	5	0	61	0	98	61	110	4	40	0	5	
Acropora_000311	1	0	649	323	340	265	228	26	7	281	0	443	0	362	238	314	327	272	3	210	
Acropora_000313	0	44	67	3	58	16	14	0	0	7	0	15	0	46	63	6	76	34	0	16	
Acropora_000314	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	
Acropora_000315	0	0	2	6	26	8	3	0	0	37	0	0	0	0	0	1	45	6	0	0	
Acropora_000316	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Acropora_000317	0	0	0	13	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	
Acropora_000319	0	0	208	82	236	125	176	7	0	11	0	192	0	40	177	74	209	90	0	41	
Acropora_000321	0	0	5	38	0	0	11	0	0	0	0	10	0	0	12	37	8	0	0	0	
Acropora_000322	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	
Acropora_000323	0	0	33	294	405	95	31	5	428	176	0	0	0	0	199	31	0	0	0	139	
Acropora_000324	183	10	3808	2147	2501	1497	2173	1234	435	2763	0	2136	0	2122	1700	2627	1976	838	145	1437	
Acropora_000325	0	0	10	0	0	0	2	0	0	0	0	19	0	0	0	16	43	6	0	0	
Acropora_000326	0	0	179	286	196	192	96	0	0	56	0	207	0	48	145	89	354	102	0	124	
Acropora_000327	0	0	139	114	3	4	10	0	0	0	0	79	0	25	39	12	75	48	0	0	
Acropora_000328	0	0	134	178	130	192	38	0	0	12	0	203	0	130	175	407	284	89	0	3	
Acropora_000330	0	0	0	32	0	19	0	0	0	1	0	20	0	48	61	13	0	11	0	7	
Acropora_000331	0	0	216	249	218	357	208	1	11	111	0	348	0	482	325	450	538	237	0	146	
Acropora_000332	0	0	12	39	29	0	2	0	0	0	0	0	0	60	0	7	1	6	0	0	
