GO_slim_term,Count,Percent,GO_slim_term_description,module,Ontology,ChildTerm,GO_child_term_description,Annotated,Significant,Expected,weightFisher,Class,GeneList
GO:0140098,1,33.333333333333336,"catalytic activity, acting on RNA",mediumpurple3,MF,GO:0004535,poly(A)-specific ribonuclease activity,9,3,0.27,0.0019,Molecular_Function,"Acropora_007887,Acropora_019727,Acropora_031384"
GO:0002376,2,20,immune system process,orangered4,BP,GO:0002227,innate immune response in mucosa,8,2,0.12,0.0056,Biological_Process,"Acropora_008464,Acropora_025968"
GO:0002376,2,20,immune system process,orangered4,BP,GO:0002553,histamine secretion by mast cell,9,2,0.13,0.0071,Biological_Process,"Acropora_012972,Acropora_020699"
GO:0006954,1,10,inflammatory response,orangered4,BP,GO:0002553,histamine secretion by mast cell,9,2,0.13,0.0071,Biological_Process,"Acropora_012972,Acropora_020699"
GO:0016071,2,20,mRNA metabolic process,orangered4,BP,GO:1900153,positive regulation of nuclear-transcrib...,16,3,0.23,0.0015,Biological_Process,"Acropora_005439,Acropora_006875,Acropora_017503"
GO:0016071,2,20,mRNA metabolic process,orangered4,BP,GO:0061158,3'-UTR-mediated mRNA destabilization,7,2,0.1,0.0042,Biological_Process,"Acropora_006875,Acropora_017503"
GO:0016192,1,10,vesicle-mediated transport,orangered4,BP,GO:0002553,histamine secretion by mast cell,9,2,0.13,0.0071,Biological_Process,"Acropora_012972,Acropora_020699"
GO:0023052,1,10,signaling,orangered4,BP,GO:0002553,histamine secretion by mast cell,9,2,0.13,0.0071,Biological_Process,"Acropora_012972,Acropora_020699"
GO:0030198,1,10,extracellular matrix organization,orangered4,BP,GO:0071711,basement membrane organization,26,3,0.38,0.0062,Biological_Process,"Acropora_009029,Acropora_017981,Acropora_032434"
GO:0098542,2,20,defense response to other organism,orangered4,BP,GO:0050829,defense response to Gram-negative bacter...,77,5,1.13,0.0052,Biological_Process,"Acropora_012061,Acropora_014785,Acropora_015087,Acropora_015419,Acropora_025968"
GO:0098542,2,20,defense response to other organism,orangered4,BP,GO:0002227,innate immune response in mucosa,8,2,0.12,0.0056,Biological_Process,"Acropora_008464,Acropora_025968"
GO:0003723,1,50,RNA binding,orangered4,MF,GO:0035925,mRNA 3'-UTR AU-rich region binding,7,2,0.09,0.0034,Molecular_Function,"Acropora_006875,Acropora_017503"
GO:0008289,1,50,lipid binding,orangered4,MF,GO:0036041,long-chain fatty acid binding,5,2,0.07,0.0016,Molecular_Function,"Acropora_008976,Acropora_009023"
GO:0005634,1,12.5,nucleus,orangered4,CC,GO:0042405,nuclear inclusion body,10,2,0.14,0.0084,Cellular_Component,"Acropora_009714,Acropora_010325"
GO:0005777,1,12.5,peroxisome,orangered4,CC,GO:0005782,peroxisomal matrix,31,3,0.44,0.0095,Cellular_Component,"Acropora_003545,Acropora_014940,Acropora_028047"
GO:0031410,2,25,cytoplasmic vesicle,orangered4,CC,GO:0042589,zymogen granule membrane,8,2,0.11,0.0053,Cellular_Component,"Acropora_012061,Acropora_019839"
GO:0031410,2,25,cytoplasmic vesicle,orangered4,CC,GO:0030127,COPII vesicle coat,10,2,0.14,0.0084,Cellular_Component,"Acropora_017981,Acropora_022467"
GO:0043226,4,50,organelle,orangered4,CC,GO:0042589,zymogen granule membrane,8,2,0.11,0.0053,Cellular_Component,"Acropora_012061,Acropora_019839"
GO:0043226,4,50,organelle,orangered4,CC,GO:0030127,COPII vesicle coat,10,2,0.14,0.0084,Cellular_Component,"Acropora_017981,Acropora_022467"
GO:0043226,4,50,organelle,orangered4,CC,GO:0042405,nuclear inclusion body,10,2,0.14,0.0084,Cellular_Component,"Acropora_009714,Acropora_010325"
GO:0043226,4,50,organelle,orangered4,CC,GO:0005782,peroxisomal matrix,31,3,0.44,0.0095,Cellular_Component,"Acropora_003545,Acropora_014940,Acropora_028047"
GO:0022414,1,33.333333333333336,reproductive process,plum1,BP,GO:0007279,pole cell formation,12,2,0.08,0.0029,Biological_Process,"Acropora_004485,Acropora_007731"
GO:0030154,1,33.333333333333336,cell differentiation,plum1,BP,GO:0007279,pole cell formation,12,2,0.08,0.0029,Biological_Process,"Acropora_004485,Acropora_007731"
GO:0048856,1,33.333333333333336,anatomical structure development,plum1,BP,GO:0007279,pole cell formation,12,2,0.08,0.0029,Biological_Process,"Acropora_004485,Acropora_007731"
GO:0060089,1,100,molecular transducer activity,plum1,MF,GO:0042813,Wnt receptor activity,15,2,0.1,0.0045,Molecular_Function,"Acropora_001653,Acropora_019150"
GO:0000278,1,1.3157894736842106,mitotic cell cycle,red,BP,GO:0031536,positive regulation of exit from mitosis,5,5,1.46,0.0021,Biological_Process,"Acropora_003316,Acropora_013632,Acropora_017887,Acropora_022622,Acropora_031205"
GO:0002181,1,1.3157894736842106,cytoplasmic translation,red,BP,GO:0002181,cytoplasmic translation,98,70,28.58,2.1999999999999997e-25,Biological_Process,"Acropora_000372,Acropora_000378,Acropora_000498,Acropora_000798,Acropora_001112,Acropora_001123,Acropora_001516,Acropora_002126,Acropora_002539,Acropora_002822,Acropora_003372,Acropora_003920,Acropora_004635,Acropora_005395,Acropora_005694,Acropora_005818,Acropora_006038,Acropora_006112,Acropora_006553,Acropora_007602,Acropora_008561,Acropora_008946,Acropora_009127,Acropora_009163,Acropora_009236,Acropora_009812,Acropora_010002,Acropora_010336,Acropora_010608,Acropora_011045,Acropora_012973,Acropora_013115,Acropora_013814,Acropora_014568,Acropora_014958,Acropora_014963,Acropora_015569,Acropora_015879,Acropora_018197,Acropora_018272,Acropora_018750,Acropora_019487,Acropora_020150,Acropora_020193,Acropora_020200,Acropora_020760,Acropora_021741,Acropora_021950,Acropora_022117,Acropora_022334,Acropora_022380,Acropora_022484,Acropora_023130,Acropora_024080,Acropora_024151,Acropora_024967,Acropora_026085,Acropora_026179,Acropora_026334,Acropora_026343,Acropora_026374,Acropora_026415,Acropora_026827,Acropora_027374,Acropora_027789,Acropora_027837,Acropora_029756,Acropora_030969,Acropora_031296,Acropora_031542"
GO:0002376,4,5.2631578947368425,immune system process,red,BP,GO:2000516,"positive regulation of CD4-positive, alp...",5,5,1.46,0.0021,Biological_Process,"Acropora_000242,Acropora_006072,Acropora_013054,Acropora_026133,Acropora_028443"
GO:0002376,4,5.2631578947368425,immune system process,red,BP,GO:0043312,neutrophil degranulation,257,96,74.96,0.0024,Biological_Process,"Acropora_002087,Acropora_002123,Acropora_002137,Acropora_002259,Acropora_002262,Acropora_002265,Acropora_002342,Acropora_002383,Acropora_002399,Acropora_003280,Acropora_003465,Acropora_003707,Acropora_004065,Acropora_004227,Acropora_004435,Acropora_004710,Acropora_005903,Acropora_006009,Acropora_006535,Acropora_006794,Acropora_007040,Acropora_007492,Acropora_007809,Acropora_007955,Acropora_007959,Acropora_008280,Acropora_008502,Acropora_008683,Acropora_008688,Acropora_008840,Acropora_008909,Acropora_009037,Acropora_009712,Acropora_010084,Acropora_010202,Acropora_010204,Acropora_010231,Acropora_010239,Acropora_010319,Acropora_010386,Acropora_011064,Acropora_011071,Acropora_011271,Acropora_011957,Acropora_012977,Acropora_013329,Acropora_013380,Acropora_013684,Acropora_013697,Acropora_015448,Acropora_015708,Acropora_015997,Acropora_017192,Acropora_017638,Acropora_017898,Acropora_018269,Acropora_018486,Acropora_018747,Acropora_019620,Acropora_019715,Acropora_019886,Acropora_020377,Acropora_021846,Acropora_021933,Acropora_022219,Acropora_022274,Acropora_022275,Acropora_022618,Acropora_022620,Acropora_022758,Acropora_022985,Acropora_023733,Acropora_023789,Acropora_024075,Acropora_024255,Acropora_024463,Acropora_024908,Acropora_025965,Acropora_026345,Acropora_026935,Acropora_027689,Acropora_027866,Acropora_027943,Acropora_028299,Acropora_028300,Acropora_028443,Acropora_028468,Acropora_029691,Acropora_030970,Acropora_031062,Acropora_031095,Acropora_031127,Acropora_031913,Acropora_031959,Acropora_032458,Acropora_033151"
GO:0002376,4,5.2631578947368425,immune system process,red,BP,GO:0019731,antibacterial humoral response,19,11,5.54,0.0067,Biological_Process,"Acropora_005903,Acropora_007040,Acropora_007862,Acropora_008463,Acropora_010484,Acropora_015879,Acropora_017737,Acropora_021660,Acropora_024846,Acropora_028010,Acropora_032397"
GO:0002376,4,5.2631578947368425,immune system process,red,BP,GO:0030218,erythrocyte differentiation,67,30,19.54,0.00997,Biological_Process,"Acropora_000798,Acropora_002149,Acropora_002216,Acropora_003282,Acropora_003840,Acropora_004449,Acropora_006112,Acropora_006634,Acropora_006653,Acropora_007010,Acropora_008777,Acropora_009332,Acropora_010731,Acropora_011045,Acropora_011121,Acropora_011167,Acropora_011681,Acropora_015082,Acropora_017923,Acropora_018486,Acropora_018553,Acropora_020397,Acropora_021950,Acropora_023635,Acropora_023845,Acropora_028481,Acropora_028825,Acropora_029806,Acropora_34124,Acropora_34345"
GO:0005975,2,2.6315789473684212,carbohydrate metabolic process,red,BP,GO:0046364,monosaccharide biosynthetic process,60,28,17.5,0.00711,Biological_Process,"Acropora_002150,Acropora_003184,Acropora_003399,Acropora_003447,Acropora_003837,Acropora_003840,Acropora_006033,Acropora_007742,Acropora_011506,Acropora_013355,Acropora_013932,Acropora_015333,Acropora_015973,Acropora_020619,Acropora_022088,Acropora_022754,Acropora_022800,Acropora_023865,Acropora_024908,Acropora_024925,Acropora_028825,Acropora_029738,Acropora_029739,Acropora_029987,Acropora_031127,Acropora_031214,Acropora_031215,Acropora_34492"
GO:0005975,2,2.6315789473684212,carbohydrate metabolic process,red,BP,GO:0046365,monosaccharide catabolic process,44,18,12.83,0.00951,Biological_Process,"Acropora_000041,Acropora_003184,Acropora_003837,Acropora_006033,Acropora_008456,Acropora_008688,Acropora_010239,Acropora_013076,Acropora_013932,Acropora_014571,Acropora_019504,Acropora_019758,Acropora_022497,Acropora_024229,Acropora_024908,Acropora_026144,Acropora_029987,Acropora_031127"
GO:0006091,1,1.3157894736842106,generation of precursor metabolites and energy,red,BP,GO:0006120,"mitochondrial electron transport, NADH t...",28,15,8.17,0.00573,Biological_Process,"Acropora_000102,Acropora_001439,Acropora_002531,Acropora_003203,Acropora_003243,Acropora_003947,Acropora_007606,Acropora_009694,Acropora_010414,Acropora_010856,Acropora_013196,Acropora_013207,Acropora_020493,Acropora_031049,Acropora_032364"
GO:0006486,1,1.3157894736842106,protein glycosylation,red,BP,GO:0018279,protein N-linked glycosylation via aspar...,32,18,9.33,4e-4,Biological_Process,"Acropora_000795,Acropora_003557,Acropora_007794,Acropora_008634,Acropora_009333,Acropora_009486,Acropora_010747,Acropora_013684,Acropora_013845,Acropora_015165,Acropora_017922,Acropora_018460,Acropora_024229,Acropora_026340,Acropora_026410,Acropora_030032,Acropora_031496,Acropora_031913"
GO:0006575,1,1.3157894736842106,cellular modified amino acid metabolic process,red,BP,GO:0006749,glutathione metabolic process,32,16,9.33,0.00673,Biological_Process,"Acropora_003203,Acropora_006644,Acropora_013376,Acropora_015024,Acropora_015333,Acropora_015989,Acropora_017258,Acropora_020639,Acropora_022363,Acropora_022800,Acropora_026345,Acropora_028054,Acropora_028179,Acropora_028349,Acropora_028825,Acropora_029621"
GO:0006629,4,5.2631578947368425,lipid metabolic process,red,BP,GO:0030497,fatty acid elongation,6,6,1.75,6.1e-4,Biological_Process,"Acropora_003833,Acropora_017565,Acropora_023525,Acropora_023753,Acropora_027523,Acropora_031244"
GO:0006629,4,5.2631578947368425,lipid metabolic process,red,BP,GO:0030148,sphingolipid biosynthetic process,49,25,14.29,0.00656,Biological_Process,"Acropora_000036,Acropora_000252,Acropora_001635,Acropora_003370,Acropora_007495,Acropora_007926,Acropora_008431,Acropora_010484,Acropora_017565,Acropora_017729,Acropora_018006,Acropora_019715,Acropora_020186,Acropora_022111,Acropora_023525,Acropora_023753,Acropora_023890,Acropora_027523,Acropora_027996,Acropora_028443,Acropora_029429,Acropora_030047,Acropora_031215,Acropora_031338,Acropora_34308"
GO:0006629,4,5.2631578947368425,lipid metabolic process,red,BP,GO:2000304,positive regulation of ceramide biosynth...,6,5,1.75,0.00956,Biological_Process,"Acropora_007495,Acropora_007926,Acropora_010484,Acropora_023753,Acropora_028443"
GO:0006629,4,5.2631578947368425,lipid metabolic process,red,BP,GO:0006678,glucosylceramide metabolic process,6,5,1.75,0.00956,Biological_Process,"Acropora_001635,Acropora_010716,Acropora_028443,Acropora_031215,Acropora_031338"
GO:0006790,1,1.3157894736842106,sulfur compound metabolic process,red,BP,GO:0006749,glutathione metabolic process,32,16,9.33,0.00673,Biological_Process,"Acropora_003203,Acropora_006644,Acropora_013376,Acropora_015024,Acropora_015333,Acropora_015989,Acropora_017258,Acropora_020639,Acropora_022363,Acropora_022800,Acropora_026345,Acropora_028054,Acropora_028179,Acropora_028349,Acropora_028825,Acropora_029621"
GO:0006886,2,2.6315789473684212,intracellular protein transport,red,BP,GO:0006616,SRP-dependent cotranslational protein ta...,8,6,2.33,0.00968,Biological_Process,"Acropora_007522,Acropora_026180,Acropora_026237,Acropora_026400,Acropora_027916,Acropora_029934"
GO:0006914,1,1.3157894736842106,autophagy,red,BP,GO:0006914,autophagy,331,100,96.54,0.00557,Biological_Process,"Acropora_000490,Acropora_001119,Acropora_001635,Acropora_001861,Acropora_001919,Acropora_002112,Acropora_002165,Acropora_002226,Acropora_002232,Acropora_002259,Acropora_002262,Acropora_003203,Acropora_003348,Acropora_003725,Acropora_004483,Acropora_004710,Acropora_006151,Acropora_006644,Acropora_006956,Acropora_007495,Acropora_007687,Acropora_007799,Acropora_007955,Acropora_008456,Acropora_008841,Acropora_008862,Acropora_009581,Acropora_009712,Acropora_010231,Acropora_010264,Acropora_010716,Acropora_010768,Acropora_012982,Acropora_013376,Acropora_013424,Acropora_013454,Acropora_013672,Acropora_013932,Acropora_014133,Acropora_014141,Acropora_014151,Acropora_014322,Acropora_015544,Acropora_016045,Acropora_016051,Acropora_016076,Acropora_017507,Acropora_017729,Acropora_017894,Acropora_017898,Acropora_018006,Acropora_018270,Acropora_018486,Acropora_018713,Acropora_018930,Acropora_019458,Acropora_019709,Acropora_019798,Acropora_019822,Acropora_020173,Acropora_020188,Acropora_020289,Acropora_020423,Acropora_022145,Acropora_022210,Acropora_022274,Acropora_022275,Acropora_022563,Acropora_022607,Acropora_022666,Acropora_022758,Acropora_023018,Acropora_023065,Acropora_023530,Acropora_023536,Acropora_023635,Acropora_023733,Acropora_023981,Acropora_024141,Acropora_026090,Acropora_026173,Acropora_026235,Acropora_026237,Acropora_026258,Acropora_026819,Acropora_026935,Acropora_027896,Acropora_027943,Acropora_028010,Acropora_028239,Acropora_028557,Acropora_028611,Acropora_029358,Acropora_029477,Acropora_029543,Acropora_030047,Acropora_031215,Acropora_031301,Acropora_031913,Acropora_032458"
GO:0007010,3,3.9473684210526314,cytoskeleton organization,red,BP,GO:0071689,muscle thin filament assembly,9,8,2.62,3.5e-4,Biological_Process,"Acropora_006898,Acropora_021838,Acropora_022532,Acropora_022536,Acropora_022574,Acropora_022662,Acropora_028448,Acropora_34124"
GO:0007010,3,3.9473684210526314,cytoskeleton organization,red,BP,GO:0034314,Arp2/3 complex-mediated actin nucleation,18,10,5.25,0.00321,Biological_Process,"Acropora_002123,Acropora_003437,Acropora_006898,Acropora_011166,Acropora_015446,Acropora_015997,Acropora_020127,Acropora_022851,Acropora_024331,Acropora_029675"
GO:0007010,3,3.9473684210526314,cytoskeleton organization,red,BP,GO:0014866,skeletal myofibril assembly,11,7,3.21,0.00954,Biological_Process,"Acropora_006898,Acropora_022532,Acropora_022536,Acropora_022574,Acropora_022662,Acropora_022711,Acropora_028448"
GO:0007059,1,1.3157894736842106,chromosome segregation,red,BP,GO:0000819,sister chromatid segregation,196,55,57.17,0.00984,Biological_Process,"Acropora_000252,Acropora_001861,Acropora_002061,Acropora_002841,Acropora_003281,Acropora_003316,Acropora_004227,Acropora_005492,Acropora_005513,Acropora_006072,Acropora_006195,Acropora_006578,Acropora_007303,Acropora_007791,Acropora_008065,Acropora_009324,Acropora_009451,Acropora_009490,Acropora_010364,Acropora_010981,Acropora_011070,Acropora_011161,Acropora_011440,Acropora_012787,Acropora_013479,Acropora_013632,Acropora_014598,Acropora_014851,Acropora_015086,Acropora_015544,Acropora_017660,Acropora_017702,Acropora_018405,Acropora_018498,Acropora_018760,Acropora_019391,Acropora_019503,Acropora_020145,Acropora_020188,Acropora_021159,Acropora_021464,Acropora_021749,Acropora_022130,Acropora_022622,Acropora_022786,Acropora_022818,Acropora_023583,Acropora_024414,Acropora_024935,Acropora_026279,Acropora_028043,Acropora_028079,Acropora_028228,Acropora_030108,Acropora_031230"
GO:0007155,1,1.3157894736842106,cell adhesion,red,BP,GO:2000516,"positive regulation of CD4-positive, alp...",5,5,1.46,0.0021,Biological_Process,"Acropora_000242,Acropora_006072,Acropora_013054,Acropora_026133,Acropora_028443"
GO:0016071,1,1.3157894736842106,mRNA metabolic process,red,BP,GO:0000184,nuclear-transcribed mRNA catabolic proce...,77,52,22.46,6e-13,Biological_Process,"Acropora_000372,Acropora_000498,Acropora_000690,Acropora_000798,Acropora_001112,Acropora_001516,Acropora_002625,Acropora_002822,Acropora_002968,Acropora_003920,Acropora_004635,Acropora_005395,Acropora_005694,Acropora_006038,Acropora_006112,Acropora_006195,Acropora_006623,Acropora_008946,Acropora_009127,Acropora_009163,Acropora_009236,Acropora_009254,Acropora_010336,Acropora_011045,Acropora_012973,Acropora_013814,Acropora_014568,Acropora_014963,Acropora_015879,Acropora_018051,Acropora_018197,Acropora_018272,Acropora_018410,Acropora_018750,Acropora_020193,Acropora_021741,Acropora_021950,Acropora_022117,Acropora_022484,Acropora_023130,Acropora_023788,Acropora_024967,Acropora_026179,Acropora_026343,Acropora_026374,Acropora_026415,Acropora_026827,Acropora_027374,Acropora_027578,Acropora_027837,Acropora_029756,Acropora_031296"
GO:0016192,1,1.3157894736842106,vesicle-mediated transport,red,BP,GO:0043312,neutrophil degranulation,257,96,74.96,0.0024,Biological_Process,"Acropora_002087,Acropora_002123,Acropora_002137,Acropora_002259,Acropora_002262,Acropora_002265,Acropora_002342,Acropora_002383,Acropora_002399,Acropora_003280,Acropora_003465,Acropora_003707,Acropora_004065,Acropora_004227,Acropora_004435,Acropora_004710,Acropora_005903,Acropora_006009,Acropora_006535,Acropora_006794,Acropora_007040,Acropora_007492,Acropora_007809,Acropora_007955,Acropora_007959,Acropora_008280,Acropora_008502,Acropora_008683,Acropora_008688,Acropora_008840,Acropora_008909,Acropora_009037,Acropora_009712,Acropora_010084,Acropora_010202,Acropora_010204,Acropora_010231,Acropora_010239,Acropora_010319,Acropora_010386,Acropora_011064,Acropora_011071,Acropora_011271,Acropora_011957,Acropora_012977,Acropora_013329,Acropora_013380,Acropora_013684,Acropora_013697,Acropora_015448,Acropora_015708,Acropora_015997,Acropora_017192,Acropora_017638,Acropora_017898,Acropora_018269,Acropora_018486,Acropora_018747,Acropora_019620,Acropora_019715,Acropora_019886,Acropora_020377,Acropora_021846,Acropora_021933,Acropora_022219,Acropora_022274,Acropora_022275,Acropora_022618,Acropora_022620,Acropora_022758,Acropora_022985,Acropora_023733,Acropora_023789,Acropora_024075,Acropora_024255,Acropora_024463,Acropora_024908,Acropora_025965,Acropora_026345,Acropora_026935,Acropora_027689,Acropora_027866,Acropora_027943,Acropora_028299,Acropora_028300,Acropora_028443,Acropora_028468,Acropora_029691,Acropora_030970,Acropora_031062,Acropora_031095,Acropora_031127,Acropora_031913,Acropora_031959,Acropora_032458,Acropora_033151"
GO:0030154,5,6.578947368421052,cell differentiation,red,BP,GO:0071689,muscle thin filament assembly,9,8,2.62,3.5e-4,Biological_Process,"Acropora_006898,Acropora_021838,Acropora_022532,Acropora_022536,Acropora_022574,Acropora_022662,Acropora_028448,Acropora_34124"
GO:0030154,5,6.578947368421052,cell differentiation,red,BP,GO:0021860,pyramidal neuron development,12,8,3.5,0.00783,Biological_Process,"Acropora_007169,Acropora_007182,Acropora_007213,Acropora_007286,Acropora_010660,Acropora_018270,Acropora_023497,Acropora_026652"
GO:0030154,5,6.578947368421052,cell differentiation,red,BP,GO:0014866,skeletal myofibril assembly,11,7,3.21,0.00954,Biological_Process,"Acropora_006898,Acropora_022532,Acropora_022536,Acropora_022574,Acropora_022662,Acropora_022711,Acropora_028448"
GO:0030154,5,6.578947368421052,cell differentiation,red,BP,GO:0045314,regulation of compound eye photoreceptor...,6,5,1.75,0.00956,Biological_Process,"Acropora_000162,Acropora_005905,Acropora_014693,Acropora_024279,Acropora_025878"
GO:0030154,5,6.578947368421052,cell differentiation,red,BP,GO:0030218,erythrocyte differentiation,67,30,19.54,0.00997,Biological_Process,"Acropora_000798,Acropora_002149,Acropora_002216,Acropora_003282,Acropora_003840,Acropora_004449,Acropora_006112,Acropora_006634,Acropora_006653,Acropora_007010,Acropora_008777,Acropora_009332,Acropora_010731,Acropora_011045,Acropora_011121,Acropora_011167,Acropora_011681,Acropora_015082,Acropora_017923,Acropora_018486,Acropora_018553,Acropora_020397,Acropora_021950,Acropora_023635,Acropora_023845,Acropora_028481,Acropora_028825,Acropora_029806,Acropora_34124,Acropora_34345"
GO:0042060,1,1.3157894736842106,wound healing,red,BP,GO:0060055,angiogenesis involved in wound healing,13,7,3.79,0.00956,Biological_Process,"Acropora_006794,Acropora_013380,Acropora_013672,Acropora_017923,Acropora_018270,Acropora_023481,Acropora_031959"
GO:0042254,1,1.3157894736842106,ribosome biogenesis,red,BP,GO:0000028,ribosomal small subunit assembly,15,11,4.38,5.1e-4,Biological_Process,"Acropora_000378,Acropora_000798,Acropora_001112,Acropora_002126,Acropora_006112,Acropora_021741,Acropora_021950,Acropora_022484,Acropora_022831,Acropora_023130,Acropora_023788"
GO:0048856,18,23.68421052631579,anatomical structure development,red,BP,GO:0071689,muscle thin filament assembly,9,8,2.62,3.5e-4,Biological_Process,"Acropora_006898,Acropora_021838,Acropora_022532,Acropora_022536,Acropora_022574,Acropora_022662,Acropora_028448,Acropora_34124"
GO:0048856,18,23.68421052631579,anatomical structure development,red,BP,GO:0043009,chordate embryonic development,389,114,113.46,5.2e-4,Biological_Process,"Acropora_000036,Acropora_000162,Acropora_000490,Acropora_000803,Acropora_000805,Acropora_000878,Acropora_001227,Acropora_001597,Acropora_001919,Acropora_002011,Acropora_002165,Acropora_002803,Acropora_003105,Acropora_003557,Acropora_004207,Acropora_004604,Acropora_005854,Acropora_006072,Acropora_007169,Acropora_007182,Acropora_007213,Acropora_007286,Acropora_007717,Acropora_008901,Acropora_009127,Acropora_009332,Acropora_009451,Acropora_009581,Acropora_009948,Acropora_010386,Acropora_010564,Acropora_010660,Acropora_010848,Acropora_011048,Acropora_011494,Acropora_011577,Acropora_011681,Acropora_011714,Acropora_012954,Acropora_013380,Acropora_013704,Acropora_013827,Acropora_014057,Acropora_014116,Acropora_014568,Acropora_014818,Acropora_015082,Acropora_015134,Acropora_015398,Acropora_015517,Acropora_015530,Acropora_015838,Acropora_016127,Acropora_016389,Acropora_016431,Acropora_016720,Acropora_017504,Acropora_017881,Acropora_017898,Acropora_017922,Acropora_017923,Acropora_018051,Acropora_018108,Acropora_018272,Acropora_018375,Acropora_018460,Acropora_018560,Acropora_018686,Acropora_018714,Acropora_018749,Acropora_019567,Acropora_019658,Acropora_019849,Acropora_020118,Acropora_020289,Acropora_020341,Acropora_020363,Acropora_020434,Acropora_020485,Acropora_021811,Acropora_021846,Acropora_022113,Acropora_022126,Acropora_022143,Acropora_022218,Acropora_022563,Acropora_022711,Acropora_022831,Acropora_022864,Acropora_022896,Acropora_023536,Acropora_023789,Acropora_023845,Acropora_024053,Acropora_024054,Acropora_024141,Acropora_024229,Acropora_024279,Acropora_024908,Acropora_026229,Acropora_026279,Acropora_026343,Acropora_026353,Acropora_026408,Acropora_027374,Acropora_027898,Acropora_027917,Acropora_027918,Acropora_028026,Acropora_029675,Acropora_029806,Acropora_031913,Acropora_031959,Acropora_34379"
GO:0048856,18,23.68421052631579,anatomical structure development,red,BP,GO:0035209,pupal development,5,5,1.46,0.0021,Biological_Process,"Acropora_003822,Acropora_006008,Acropora_017923,Acropora_023865,Acropora_029977"
GO:0048856,18,23.68421052631579,anatomical structure development,red,BP,GO:0021591,ventricular system development,24,14,7,0.00248,Biological_Process,"Acropora_002485,Acropora_002642,Acropora_003105,Acropora_004559,Acropora_004604,Acropora_013336,Acropora_013384,Acropora_013982,Acropora_019567,Acropora_022711,Acropora_022864,Acropora_022939,Acropora_024397,Acropora_028079"
GO:0048856,18,23.68421052631579,anatomical structure development,red,BP,GO:0045498,sex comb development,7,6,2.04,0.00322,Biological_Process,"Acropora_006016,Acropora_014897,Acropora_016182,Acropora_018560,Acropora_020289,Acropora_020451"
GO:0048856,18,23.68421052631579,anatomical structure development,red,BP,GO:0007509,mesoderm migration involved in gastrulat...,13,9,3.79,0.00323,Biological_Process,"Acropora_007169,Acropora_007182,Acropora_007213,Acropora_007286,Acropora_009333,Acropora_013899,Acropora_022189,Acropora_027917,Acropora_027918"
GO:0048856,18,23.68421052631579,anatomical structure development,red,BP,GO:0008360,regulation of cell shape,98,38,28.58,0.00356,Biological_Process,"Acropora_000252,Acropora_000509,Acropora_001919,Acropora_002368,Acropora_003437,Acropora_005485,Acropora_005905,Acropora_007169,Acropora_007182,Acropora_007213,Acropora_007286,Acropora_009451,Acropora_010552,Acropora_011166,Acropora_012970,Acropora_013380,Acropora_015182,Acropora_015446,Acropora_018270,Acropora_018412,Acropora_018486,Acropora_020521,Acropora_020551,Acropora_022113,Acropora_022189,Acropora_022196,Acropora_022711,Acropora_022738,Acropora_022896,Acropora_023324,Acropora_026952,Acropora_027866,Acropora_028147,Acropora_028335,Acropora_029561,Acropora_029675,Acropora_029709,Acropora_031959"
GO:0048856,18,23.68421052631579,anatomical structure development,red,BP,GO:0007475,apposition of dorsal and ventral imagina...,9,7,2.62,0.00357,Biological_Process,"Acropora_000805,Acropora_013040,Acropora_013380,Acropora_017923,Acropora_018560,Acropora_026952,Acropora_031959"
GO:0048856,18,23.68421052631579,anatomical structure development,red,BP,GO:0001889,liver development,140,57,40.83,0.00712,Biological_Process,"Acropora_000162,Acropora_000805,Acropora_001112,Acropora_001381,Acropora_001861,Acropora_002150,Acropora_002386,Acropora_003105,Acropora_003264,Acropora_003281,Acropora_003837,Acropora_004635,Acropora_004918,Acropora_006038,Acropora_006635,Acropora_007035,Acropora_007040,Acropora_007169,Acropora_007182,Acropora_007213,Acropora_007286,Acropora_007787,Acropora_007947,Acropora_008688,Acropora_009392,Acropora_010660,Acropora_010709,Acropora_013054,Acropora_013376,Acropora_013704,Acropora_013764,Acropora_013901,Acropora_014832,Acropora_014927,Acropora_015443,Acropora_017491,Acropora_017926,Acropora_018680,Acropora_019234,Acropora_019849,Acropora_022611,Acropora_023020,Acropora_023761,Acropora_023845,Acropora_024054,Acropora_024151,Acropora_024286,Acropora_024404,Acropora_026206,Acropora_026279,Acropora_026374,Acropora_027811,Acropora_027837,Acropora_027898,Acropora_028026,Acropora_029806,Acropora_031076"
GO:0048856,18,23.68421052631579,anatomical structure development,red,BP,GO:0021860,pyramidal neuron development,12,8,3.5,0.00783,Biological_Process,"Acropora_007169,Acropora_007182,Acropora_007213,Acropora_007286,Acropora_010660,Acropora_018270,Acropora_023497,Acropora_026652"
GO:0048856,18,23.68421052631579,anatomical structure development,red,BP,GO:0001890,placenta development,72,22,21,0.00792,Biological_Process,"Acropora_000162,Acropora_000490,Acropora_000798,Acropora_005953,Acropora_006865,Acropora_007169,Acropora_007182,Acropora_007213,Acropora_007286,Acropora_011048,Acropora_015024,Acropora_017881,Acropora_018270,Acropora_020118,Acropora_022896,Acropora_023861,Acropora_024988,Acropora_024993,Acropora_027943,Acropora_028026,Acropora_028179,Acropora_34379"
