"","ID_1087","ID_1089","ID_1090","ID_1091","ID_1092","ID_1097","ID_1098","ID_1099","ID_2263","ID_2265","ID_2266","ID_2267","ID_2268","ID_2382","ID_2383","ID_2384"
"Acerv_evm.model.Segkk524_pilon.76",0,16,130,335,91,42,108,104,52,174,274,49,57,18,0,184
"Acerv_evm.model.Segkk540_pilon.2",0,20,111,174,246,46,17,345,133,97,212,93,68,14,0,83
"Acerv_evm.model.Segkk541_pilon.10",0,316,465,660,559,25,149,44,398,221,408,212,66,113,0,174
"Acerv_evm.model.Segkk549_pilon.1",0,82,241,306,207,149,40,274,34,48,230,115,23,13,0,239
"Acerv_evm.model.Segkk551_pilon.3",0,486,286,476,296,83,165,192,167,155,387,244,471,38,0,18
"Acerv_evm.model.Segkk555_pilon.1",0,119,306,239,262,55,217,115,57,48,94,73,156,11,0,154
"Acerv_evm.model.Segkk555_pilon.4",0,132,185,303,99,24,194,226,239,28,414,300,32,128,0,75
"Acerv_evm.model.Segkk555_pilon.6",0,118,372,631,310,221,485,174,113,121,129,105,40,17,0,138
"Acerv_evm.model.Segkk557_pilon.1",0,428,1121,2538,1780,570,1521,1905,526,202,1012,356,88,57,0,814
"Acerv_evm.model.Segkk573_pilon.2",0,44,190,299,199,50,279,256,45,89,265,199,61,40,0,201
"Acerv_evm.model.Segkk576_pilon.3",0,58,1134,1097,653,279,264,1018,139,218,667,224,101,62,0,136
"Acerv_evm.model.Segkk577_pilon.4",0,55,329,495,436,6,91,326,77,155,228,270,39,44,0,434
"Acerv_evm.model.Segkk577_pilon.8",7,262,823,757,487,106,53,267,275,260,651,91,56,40,0,200
"Acerv_evm.model.Segkk578_pilon.5",0,111,748,309,210,20,156,287,67,116,662,62,22,18,0,130
"Acerv_evm.model.Segkk579_pilon.5",0,170,462,604,195,73,169,264,129,144,402,115,74,38,0,96
"Acerv_evm.model.Segkk579_pilon.3",0,47,387,318,243,51,111,318,52,99,276,152,46,40,0,139
"Acerv_evm.model.Segkk579_pilon.1",0,345,843,1033,619,98,177,483,256,226,787,217,212,54,152,287
"Acerv_evm.model.Segkk580_pilon.29",4,1150,3901,3489,2446,2202,1204,1948,1064,817,2345,938,1032,310,0,820
"Acerv_evm.model.Segkk580_pilon.18",0,102,541,237,323,90,87,336,56,57,201,158,23,49,0,188
"Acerv_evm.model.Segkk580_pilon.12",10,252,499,822,309,264,138,538,261,552,819,299,326,48,0,289
"Acerv_evm.model.Segkk581_pilon.55",0,190,538,732,407,172,194,247,122,53,641,172,60,58,5,239
"Acerv_evm.model.Segkk582_pilon.1",17,1535,3629,3716,2108,3357,2196,2975,1208,739,2814,903,827,315,5,1220
"Acerv_evm.model.Segkk584_pilon.11",3,407,2569,2284,1716,2294,1159,1644,534,572,1133,845,532,77,0,403
"Acerv_evm.model.Segkk603_pilon.3",1,119,323,352,460,166,37,227,179,157,566,259,50,100,0,376
"Acerv_evm.model.Segkk603_pilon.2",10,327,1622,1186,1177,288,142,718,648,407,948,462,272,80,0,413
"Acerv_evm.model.Segkk604_pilon.1",0,190,360,358,415,399,47,308,241,129,537,310,179,11,0,321
"Acerv_evm.model.Segkk607_pilon.14",0,35,64,274,315,85,7,348,208,271,56,133,46,61,0,24
"Acerv_evm.model.Segkk625_pilon.6",0,10244,7610,6608,5826,370,12,3486,8267,7832,10690,10338,11231,6018,6,5407
"Acerv_evm.model.Segkk625_pilon.4",2,431,1519,997,942,537,490,574,297,234,636,265,250,83,0,411
"Acerv_evm.model.Segkk634_pilon.4",0,343,471,505,433,62,44,257,329,104,707,191,533,100,2,64
"Acerv_evm.model.Segkk634_pilon.6",0,366,542,490,157,495,98,486,164,163,379,260,284,90,0,195
"Acerv_evm.model.Segkk637_pilon.2",3,808,6276,5839,2287,10059,10335,11995,438,543,1375,774,95,82,0,1240
"Acerv_evm.model.Segkk637_pilon.3",42,929,1593,1339,1090,110,440,824,880,822,1060,909,750,233,0,543
"Acerv_evm.model.Segkk641_pilon.5",1,711,663,696,320,132,175,360,313,306,604,374,606,90,0,239
"Acerv_evm.model.Segkk641_pilon.6",0,67,616,660,365,114,139,440,131,55,684,70,150,30,0,183
"Acerv_evm.model.Segkk642_pilon.13",0,124,1821,1612,1230,1129,908,1461,228,186,1051,146,18,21,0,601
"Acerv_evm.model.Segkk645_pilon.13",819,20621,38806,19939,10485,13191,19032,13029,4520,4008,7304,2279,2017,1260,150,2663
"Acerv_evm.model.Segkk645_pilon.8",20,123,1007,897,713,3544,4850,1872,210,69,929,219,77,104,0,473
"Acerv_evm.model.Segkk647_pilon.7",10,939,5051,3618,2019,1603,2189,1597,905,400,2111,521,711,330,3,984
"Acerv_evm.model.Segkk647_pilon.6",9,143,528,863,326,193,146,464,136,71,392,99,24,25,0,319
"Acerv_evm.model.Segkk647_pilon.14",0,293,281,596,563,272,360,900,284,94,493,400,214,38,0,228
"Acerv_evm.model.Segkk653_pilon.3",33,569,1015,1668,1229,439,724,812,715,1062,1590,612,364,193,39,468
"Acerv_evm.model.Segkk658_pilon.2",0,109,856,407,459,219,194,261,190,239,547,576,93,55,0,297
"Acerv_evm.model.Segkk659_pilon.2",0,92,722,625,512,194,120,407,145,281,438,402,208,31,0,436
"Acerv_evm.model.Segkk663_pilon.12",0,149,218,355,130,86,53,197,211,209,311,237,135,90,0,154
"Acerv_evm.model.Segkk669_pilon.21",0,6374,4174,5016,3767,310,185,848,6059,7564,7722,8217,6372,2161,0,1664
"Acerv_evm.model.Segkk669_pilon.5",0,250,481,342,279,16,17,210,114,362,388,267,78,25,0,94
"Acerv_evm.model.Segkk669_pilon.11",0,163,1270,1017,590,245,241,388,193,43,658,204,133,32,0,217
"Acerv_evm.model.Segkk669_pilon.10",0,158,1993,1848,1146,839,373,1102,272,242,1455,328,166,27,0,500
"Acerv_evm.model.Segkk669_pilon.18",0,206,339,95,370,65,68,168,60,177,211,140,36,21,0,30
"Acerv_evm.model.Segkk670_pilon.5",0,60,324,471,226,212,170,286,84,153,310,54,104,10,0,102
"Acerv_evm.model.Segkk670_pilon.18",20,18300,10076,9203,8040,1306,114,9423,12584,11319,12669,20363,23993,8415,141,11655
"Acerv_evm.model.Segkk671_pilon.6",0,204,832,1138,955,48,45,972,289,280,731,595,180,24,0,280
"Acerv_evm.model.Segkk671_pilon.7",0,77,105,90,172,66,13,142,74,76,15,149,87,42,0,169
"Acerv_evm.model.Segkk674_pilon.2",0,200,711,1634,895,491,386,1277,145,346,1114,328,89,70,29,550
"Acerv_evm.model.Segkk677_pilon.2",0,247,487,528,352,163,129,403,226,211,460,307,78,27,0,124
"Acerv_evm.model.Segkk687_pilon.12",2,659,833,930,588,144,161,641,688,510,816,452,447,228,11,253
"Acerv_evm.model.Segkk687_pilon.18",0,139,297,608,342,103,299,472,172,60,357,156,11,14,0,135
"Acerv_evm.model.Segkk687_pilon.20",0,151,285,402,314,63,42,216,134,162,285,155,17,26,0,61
"Acerv_evm.model.Segkk689_pilon.3",5,172,393,390,416,92,23,177,138,123,278,168,182,24,0,126
"Acerv_evm.model.Segkk691_pilon.4",0,597,5450,6371,2734,19,346,925,3138,828,4241,1169,1566,91,0,13
"Acerv_evm.model.Segkk694_pilon.5",3,7,238,276,434,195,327,498,62,58,459,255,38,16,0,171
"Acerv_evm.model.Segkk697_pilon.4",0,99,431,255,276,388,70,449,93,142,367,120,48,45,0,139
"Acerv_evm.model.Segkk703_pilon.2",30,4453,1281,1718,1852,161,3,548,2596,2577,2053,3515,3176,1578,37,649
"Acerv_evm.model.Segkk706_pilon.1",12,9,502,305,278,227,15,302,35,117,190,92,33,4,0,94
