"","Acer_1089","Acer_1090","Acer_1091","Acer_1092","Acer_1097","Acer_1098","Acer_1099","Acer_1100","Acer_2263","Acer_2265","Acer_2266","Acer_2267","Acer_2268","Acer_2382","Acer_2384"
"Symbiodinium10328",0,16,123,56,61,0,10,0,0,17,18,78,4,22,0
"Symbiodinium10329",47,0,125,2,0,0,34,0,39,0,15,18,38,4,48
"Symbiodinium10332",0,0,27,18,10,0,0,0,0,0,0,20,0,0,0
"Symbiodinium10333",104,161,571,252,265,11,549,0,201,109,154,274,98,197,643
"Symbiodinium10335",0,0,0,11,0,1,0,0,0,0,0,0,0,11,0
"Symbiodinium10336",0,4,21,22,0,0,0,0,0,0,0,0,0,0,0
"Symbiodinium10337",1,17,17,8,0,0,8,0,0,0,0,0,0,0,0
"Symbiodinium10340",31,4,125,0,0,0,40,0,2,0,0,0,0,18,0
"Symbiodinium10341",8,12,32,12,328,0,0,0,11,10,13,12,0,10,72
"Symbiodinium10342",5,0,0,0,0,0,0,0,16,0,18,0,24,0,0
"Symbiodinium10346",0,0,13,15,0,25,0,0,12,0,14,0,102,8,0
"Symbiodinium10349",43,9,3,26,0,129,0,0,3,0,0,9,109,36,0
"Symbiodinium1035",4,17,84,23,344,0,23,0,39,0,7,82,0,28,112
"Symbiodinium10350",4,6,61,11,43,101,0,0,0,113,52,58,45,41,19
"Symbiodinium10351",69,78,86,135,110,51,142,0,52,70,78,65,15,72,216
"Symbiodinium10353",9,14,4,0,0,0,0,0,23,0,0,0,0,12,0
"Symbiodinium10354",55,6,26,33,0,18,38,0,33,54,188,34,41,65,26
"Symbiodinium10357",69,27,80,35,1,0,79,0,80,221,123,157,53,78,276
"Symbiodinium10358",57,1,47,7,0,0,20,0,16,95,33,59,65,57,35
"Symbiodinium10360",0,19,25,36,38,0,7,0,54,0,55,28,30,30,92
"Symbiodinium10363",44,46,116,52,4,130,231,0,32,64,144,37,17,82,286
"Symbiodinium10368",4,0,72,0,0,0,36,0,13,0,20,5,0,0,0
"Symbiodinium10372",26,18,0,0,0,0,35,0,32,48,19,4,2,2,41
"Symbiodinium10377",6,0,15,0,0,0,0,0,0,82,27,13,35,24,20
"Symbiodinium10382",23,1,1,18,0,0,0,0,3,0,0,10,0,0,0
"Symbiodinium10384",0,0,19,0,0,0,27,0,0,0,0,0,0,0,0
"Symbiodinium10385",56,36,243,95,65,0,123,0,71,55,69,23,84,79,17
"Symbiodinium10386",0,0,40,0,0,0,0,0,46,53,132,43,9,14,20
"Symbiodinium10387",49,7,112,24,50,0,27,0,1,129,0,34,122,16,9
"Symbiodinium10389",35,52,36,11,0,0,73,0,47,47,0,21,17,0,0
"Symbiodinium10391",64,68,160,97,0,0,61,0,94,118,112,47,100,84,208
"Symbiodinium10394",0,12,76,27,0,0,31,0,16,29,31,9,4,49,16
"Symbiodinium10396",0,0,36,0,0,0,0,0,0,0,0,0,31,0,0
"Symbiodinium10399",35,18,21,33,0,0,81,0,58,45,124,57,43,38,56
"Symbiodinium10401",2,0,57,0,0,0,0,0,24,64,0,0,10,5,0
"Symbiodinium10403",15,184,113,95,29,0,103,0,86,195,12,237,114,87,68
"Symbiodinium10405",104,21,84,56,0,0,117,0,131,5,152,160,73,62,44
"Symbiodinium10408",0,0,0,0,0,0,0,0,37,0,4,0,0,0,35
"Symbiodinium10409",1,0,11,0,0,0,41,0,2,0,19,0,34,6,55
"Symbiodinium1041",32,0,13,0,0,0,42,0,7,0,5,4,7,5,0
"Symbiodinium10410",30,37,143,77,1,121,26,0,187,82,46,46,46,47,194
"Symbiodinium10411",26,20,13,95,15,0,23,0,48,10,43,16,51,44,97
"Symbiodinium10412",432,541,1746,960,8112,2079,2560,0,944,1361,637,870,871,591,2156
"Symbiodinium10415",18,8,96,7,0,0,0,0,10,0,48,29,8,41,25
"Symbiodinium10421",128,29,184,43,13,12,123,0,62,81,74,86,130,94,100
"Symbiodinium10422",2,0,41,32,0,0,0,0,7,0,0,16,0,0,0
"Symbiodinium10423",49,130,234,129,110,44,105,0,108,345,155,94,76,69,31
"Symbiodinium10425",0,0,0,0,0,0,0,0,10,0,25,0,0,11,0
"Symbiodinium10426",56,41,5,33,106,0,111,0,64,130,179,0,10,18,0
"Symbiodinium10428",75,108,256,158,283,0,0,0,265,147,82,58,189,112,108
"Symbiodinium10430",63,16,102,98,0,25,57,0,101,65,24,59,110,48,104
"Symbiodinium10431",0,0,41,0,0,0,0,0,0,36,5,0,0,6,0
"Symbiodinium10437",34,20,40,84,7,1,0,0,28,32,80,30,16,46,12
"Symbiodinium10438",17,41,29,32,0,86,0,0,25,42,50,11,0,27,55
"Symbiodinium10441",26,0,81,0,0,0,3,0,2,31,0,0,0,0,0
"Symbiodinium10443",33,10,50,33,112,0,41,0,15,86,16,25,7,31,80
"Symbiodinium10446",43,25,45,26,0,0,2,0,38,70,25,0,6,6,48
"Symbiodinium10453",0,10,42,6,0,0,13,0,0,16,0,34,19,43,71
"Symbiodinium10456",0,8,44,0,0,0,0,0,21,0,12,6,28,9,20
"Symbiodinium10457",0,10,21,0,0,0,0,0,12,58,0,0,0,2,0
"Symbiodinium10458",41,12,103,88,227,343,55,0,76,0,148,32,87,71,173
"Symbiodinium10459",18,4,7,0,0,0,0,0,14,0,42,0,0,1,49
"Symbiodinium10462",26,0,0,37,16,0,15,0,0,0,0,0,0,3,23
"Symbiodinium10463",86,40,0,4,0,0,0,0,45,32,50,5,69,6,0
"Symbiodinium10467",31,18,143,57,0,0,0,0,120,90,24,128,13,27,9
"Symbiodinium10468",108,40,92,69,87,0,74,0,90,102,112,22,22,58,74
"Symbiodinium10478",27,6,27,13,0,0,0,0,0,0,0,26,71,23,37
"Symbiodinium10480",2,3,17,0,0,0,32,0,0,16,63,3,49,17,11
"Symbiodinium10482",25,24,40,45,0,0,26,0,26,0,49,81,0,16,40
"Symbiodinium10485",8,54,54,26,0,0,1,0,64,94,10,3,18,54,75
"Symbiodinium10487",10,0,32,0,0,0,0,0,0,0,0,3,0,0,0
"Symbiodinium10488",0,0,0,0,0,0,0,0,0,0,36,0,0,0,65
"Symbiodinium10497",3,2,0,19,0,0,49,0,41,0,62,1,86,25,132
"Symbiodinium10499",88,129,138,68,2,0,49,0,63,64,95,88,31,50,116
"Symbiodinium10506",56,81,184,164,41,5,356,0,73,7,204,102,87,69,202
"Symbiodinium10509",0,11,20,3,0,0,44,0,0,0,14,22,0,0,45
"Symbiodinium10511",0,0,1,2,0,0,0,0,3,0,0,11,10,11,0
"Symbiodinium10513",488,252,1242,672,309,115,418,0,431,462,613,565,329,264,946
"Symbiodinium10515",8,0,28,20,0,0,0,0,0,0,0,17,0,0,55
"Symbiodinium10516",36,0,1,15,0,0,0,0,4,43,12,0,12,5,4
"Symbiodinium10521",5,21,75,33,0,0,44,0,8,68,14,16,55,25,0
"Symbiodinium10522",6,0,20,33,0,0,0,0,10,0,17,0,3,25,0
"Symbiodinium10523",37,73,238,116,474,353,375,0,185,193,108,151,23,54,145
"Symbiodinium10526",27,23,17,29,0,0,38,0,32,0,16,3,1,19,0
"Symbiodinium10528",48,121,442,135,7,0,165,0,69,69,200,123,13,54,440
"Symbiodinium10529",314,213,1194,265,236,419,427,0,722,246,850,468,303,394,954
"Symbiodinium10538",0,15,34,6,0,0,0,0,1,81,19,14,12,28,51
"Symbiodinium10540",0,0,0,0,0,0,0,0,23,0,33,19,0,0,0
"Symbiodinium10544",0,0,2,3,0,0,0,0,0,0,0,35,0,12,34
"Symbiodinium10546",36,59,121,76,105,0,64,0,84,182,250,126,226,56,95
"Symbiodinium10547",120,87,241,212,97,330,35,0,121,340,115,137,38,148,145
"Symbiodinium10549",51,11,159,79,0,0,5,0,60,0,36,3,183,34,120
"Symbiodinium10550",64,32,110,16,183,209,23,0,63,19,37,85,13,59,238
"Symbiodinium10553",43,41,255,46,0,0,21,0,105,66,123,87,84,33,41
"Symbiodinium10554",30,7,0,0,0,0,8,0,18,0,0,0,0,0,0
"Symbiodinium10555",520,1112,2979,1816,14566,3597,3482,0,948,1693,910,1385,1011,623,3920
"Symbiodinium10556",40,18,60,46,2,0,65,0,92,0,100,155,129,25,93
"Symbiodinium10557",0,23,24,12,0,0,1,0,32,0,13,0,18,10,0
"Symbiodinium10559",10,0,0,0,0,0,0,0,0,0,0,0,19,0,0
"Symbiodinium10560",39,0,158,68,191,0,1,0,46,71,21,7,97,26,0
"Symbiodinium10564",0,0,36,14,0,105,25,0,7,0,0,15,0,0,0
"Symbiodinium10570",12,0,49,0,0,0,0,0,0,0,55,0,0,10,0
"Symbiodinium10571",155,214,847,384,609,1,736,0,311,301,258,274,126,79,379
"Symbiodinium10572",176,109,262,147,527,0,163,0,292,161,261,355,273,125,181
"Symbiodinium10573",10,0,28,2,0,0,0,0,4,0,0,0,0,21,5
"Symbiodinium10577",277,305,1093,464,364,9,737,0,442,457,354,455,356,248,1153
"Symbiodinium10579",29,19,115,28,0,0,0,0,0,75,43,124,8,33,169
"Symbiodinium10582",6,10,0,0,0,0,52,0,3,0,0,0,2,17,0
"Symbiodinium10585",11,7,13,19,0,0,28,0,26,0,0,12,0,6,0
"Symbiodinium10586",26,39,117,49,174,0,204,0,90,90,89,16,18,20,77
"Symbiodinium10588",68,42,115,84,0,0,1,0,279,93,395,183,67,99,78
"Symbiodinium10589",47,16,73,52,50,0,0,0,5,1,121,92,155,38,40
"Symbiodinium10592",60,40,24,1,0,0,2,0,3,0,69,3,0,16,0
"Symbiodinium10594",44,20,25,9,0,0,7,0,56,0,116,17,61,28,1
"Symbiodinium10597",0,0,0,10,0,0,0,0,0,0,0,0,0,10,0
"Symbiodinium10599",24,0,7,23,7,0,56,0,67,81,0,32,3,34,3
"Symbiodinium1060",0,0,0,0,0,0,0,0,0,0,0,10,0,10,5
"Symbiodinium10600",19,4,27,66,5,850,103,0,51,0,123,61,6,14,120
"Symbiodinium10607",0,0,17,0,0,0,35,0,18,0,51,0,0,12,0
"Symbiodinium10608",364,120,430,329,35,1,189,0,587,274,390,540,381,315,618
"Symbiodinium10610",3,0,26,4,3,0,63,0,7,0,0,0,0,18,12
"Symbiodinium10614",15,48,27,17,0,0,0,0,8,25,0,48,11,21,5
"Symbiodinium10615",77,103,297,140,365,14,139,0,137,152,284,206,212,98,247
"Symbiodinium10616",0,0,46,0,0,0,97,0,0,43,0,0,2,0,0
"Symbiodinium10619",0,0,0,0,0,0,0,0,21,0,28,0,0,0,0
"Symbiodinium10620",5,0,28,0,0,0,0,0,0,0,12,0,0,0,0
"Symbiodinium10623",12,81,150,59,433,100,102,0,112,69,102,42,47,18,215
"Symbiodinium10628",71,15,65,33,101,43,127,0,72,0,130,20,62,79,30
"Symbiodinium10633",50,27,136,45,12,0,89,0,8,61,14,66,0,28,77
"Symbiodinium10634",111,114,192,63,442,251,130,0,238,283,177,307,108,125,458
"Symbiodinium10640",3,17,0,0,0,0,0,0,19,0,41,0,4,0,0
"Symbiodinium10641",0,1,0,0,0,0,0,0,13,29,52,0,0,9,19
"Symbiodinium10643",8,1,11,20,0,103,102,0,31,0,0,21,1,5,0
"Symbiodinium10645",3,6,25,3,0,0,0,0,0,29,0,4,2,11,51
"Symbiodinium10646",265,250,1330,816,8918,774,1844,0,731,708,778,618,739,559,2329
"Symbiodinium10647",0,0,0,13,0,0,0,0,0,11,0,0,0,0,0
"Symbiodinium10649",1,0,12,0,0,0,43,0,0,0,20,0,0,0,0
"Symbiodinium10651",24,25,72,54,161,0,159,0,58,2,0,17,10,13,52
"Symbiodinium10652",0,16,0,0,0,0,0,0,0,0,18,0,0,0,0
"Symbiodinium10655",8,24,0,53,0,52,0,0,72,0,129,0,8,11,74
"Symbiodinium10656",0,1,77,0,43,0,39,0,59,0,0,0,25,27,0
"Symbiodinium10660",115,38,334,78,139,424,32,0,112,114,191,179,112,91,166
"Symbiodinium10664",0,0,4,39,0,0,0,0,0,39,18,31,68,11,38
"Symbiodinium10665",71,33,114,15,0,0,0,0,216,52,385,70,54,91,110
"Symbiodinium10669",0,3,0,20,0,0,72,0,0,0,0,32,0,3,27
"Symbiodinium10670",4,1,82,13,2,0,20,0,5,39,0,37,2,36,0
"Symbiodinium10671",0,1,8,8,0,0,54,0,11,0,32,14,15,13,225
"Symbiodinium10675",0,0,12,0,0,0,0,0,16,25,23,0,0,5,0
"Symbiodinium10677",0,0,0,10,0,0,0,0,0,0,24,0,0,0,18
"Symbiodinium10682",5,8,6,0,0,31,0,0,0,57,0,0,0,13,0
"Symbiodinium10684",0,0,0,0,0,0,17,0,0,0,0,0,0,24,0
"Symbiodinium10688",28,4,40,0,5,0,28,0,10,0,0,43,46,32,0
"Symbiodinium10691",36,0,13,6,0,0,3,0,33,13,2,17,0,17,14
"Symbiodinium10698",0,0,53,0,0,0,0,0,0,0,32,0,0,0,0
"Symbiodinium10699",0,0,0,23,0,0,0,0,0,0,0,7,0,0,47
"Symbiodinium10700",7,0,0,2,0,0,0,0,0,64,0,6,57,8,0
"Symbiodinium10702",18,7,0,19,4,0,0,0,0,46,28,50,44,12,0
"Symbiodinium10703",76,90,202,153,276,0,113,0,144,89,440,206,161,83,194
"Symbiodinium10706",1089,1035,3657,1523,820,728,1104,0,1372,2098,1326,2329,1157,681,1607
"Symbiodinium10708",5,25,117,22,0,23,11,0,29,26,81,77,4,42,174
"Symbiodinium1071",5,69,69,64,113,0,44,0,29,148,70,56,37,25,116
"Symbiodinium10711",71,117,356,156,531,27,501,0,299,92,133,302,183,97,290
"Symbiodinium10714",26,22,119,33,0,0,0,0,22,30,0,3,19,5,20
"Symbiodinium10715",0,6,0,0,0,0,41,0,0,0,0,32,0,0,0
"Symbiodinium10716",89,10,109,31,36,0,36,0,23,40,0,58,43,43,42
"Symbiodinium10720",0,0,21,3,0,0,0,0,17,0,47,0,0,0,0
"Symbiodinium10722",0,1,30,31,0,0,0,0,0,0,0,0,0,12,4
"Symbiodinium10723",108,62,279,123,11,0,220,0,124,222,140,218,110,68,83
"Symbiodinium10725",63,31,138,70,0,0,55,0,102,11,216,115,58,93,120
"Symbiodinium10728",0,0,0,3,0,0,23,0,30,0,0,0,0,14,0
"Symbiodinium10730",0,12,0,0,0,0,0,0,0,0,0,0,0,12,0
"Symbiodinium10740",15,33,72,13,0,0,0,0,20,0,0,37,6,7,0
"Symbiodinium10742",0,0,11,0,0,0,0,0,4,30,0,0,0,1,0
"Symbiodinium10745",40,56,86,32,136,0,22,0,42,89,85,53,76,92,24
"Symbiodinium10747",0,0,0,0,0,0,0,0,0,39,0,61,0,0,0
"Symbiodinium10748",5,30,23,41,148,0,56,0,42,78,24,39,12,3,0
"Symbiodinium10750",22,21,8,27,0,0,0,0,46,8,107,0,36,11,44
"Symbiodinium10751",37,48,201,86,116,8,85,0,120,44,96,78,92,38,83
"Symbiodinium10752",305,207,413,259,517,375,228,0,375,545,524,637,344,218,736
"Symbiodinium10755",25,10,26,38,0,0,0,0,19,0,0,37,5,17,7
"Symbiodinium10759",0,0,0,0,0,0,0,0,10,7,0,16,3,6,0
"Symbiodinium10762",46,0,1,30,0,0,0,0,34,0,6,0,24,12,23
"Symbiodinium10769",65,52,103,56,0,0,87,0,32,30,254,132,92,84,287
"Symbiodinium10771",0,0,0,8,185,0,0,0,0,0,0,0,0,12,0
"Symbiodinium10772",25,6,21,36,3,0,0,0,26,113,2,3,1,14,136
"Symbiodinium10773",30,11,25,5,0,0,0,0,34,23,0,62,91,32,281
"Symbiodinium10778",191,188,1108,485,3,60,281,0,529,441,1303,832,776,316,616
"Symbiodinium10779",0,0,0,0,0,0,0,0,0,0,0,0,0,16,29
"Symbiodinium10780",0,10,0,0,0,43,0,0,1,0,8,0,0,7,0
"Symbiodinium10784",44,32,198,131,214,88,56,0,156,18,105,219,145,69,150
"Symbiodinium10790",58,33,16,3,20,0,26,0,72,0,0,18,18,26,0
"Symbiodinium10791",18,0,98,46,0,8,25,0,34,27,0,42,0,5,36
"Symbiodinium10794",0,0,0,0,0,0,0,0,7,18,1,0,0,10,0
"Symbiodinium10795",371,258,975,386,137,5,176,0,372,352,348,718,220,250,364
"Symbiodinium10797",0,8,32,27,20,0,0,0,1,0,31,0,0,0,0
"Symbiodinium10800",437,393,1630,613,339,565,1032,0,568,920,813,684,516,314,772
"Symbiodinium10801",294,177,766,280,243,26,123,0,459,430,888,702,512,255,609
"Symbiodinium10802",4,16,68,22,28,0,9,0,76,19,90,0,36,3,0
"Symbiodinium10803",0,0,12,0,0,0,0,0,0,0,0,0,13,0,0
"Symbiodinium10804",16,16,17,19,28,0,33,0,30,0,35,76,52,28,0
"Symbiodinium10805",0,2,0,0,0,0,0,0,23,59,0,39,20,0,0
"Symbiodinium10806",23,14,10,5,0,0,101,0,79,0,1,38,2,21,50
"Symbiodinium10809",24,26,61,5,0,14,4,0,35,0,44,26,32,29,74
"Symbiodinium10812",75,45,122,62,378,0,42,0,164,99,226,63,72,132,120
"Symbiodinium10814",99,44,73,0,3,0,53,0,95,99,120,138,135,45,0
"Symbiodinium10818",35,8,114,49,0,0,15,0,21,31,43,0,56,28,38
"Symbiodinium10821",0,18,23,13,0,0,0,0,11,0,0,0,0,5,0
"Symbiodinium10822",106,31,168,51,0,0,23,0,17,45,11,73,40,26,6
"Symbiodinium10823",0,0,23,8,0,0,0,0,3,0,88,0,24,10,8
"Symbiodinium10827",18,4,84,48,22,0,99,0,1,68,0,26,0,13,0
"Symbiodinium10828",145,64,156,97,15,65,97,0,70,68,71,148,9,77,61
"Symbiodinium10831",0,16,64,19,0,1,40,0,0,8,78,14,10,2,19
"Symbiodinium10832",151,162,643,211,184,0,132,0,217,186,239,147,263,142,363
"Symbiodinium10833",49,49,194,128,820,0,31,0,104,309,97,95,154,144,90
"Symbiodinium10834",5,10,0,0,0,0,0,0,16,0,85,0,86,21,0
"Symbiodinium10837",102,48,218,120,47,0,77,0,147,169,44,234,224,55,220
"Symbiodinium10839",69,44,191,76,0,0,54,0,77,164,81,137,88,54,137
"Symbiodinium10844",52,43,67,42,46,0,25,0,93,63,64,43,26,35,0
"Symbiodinium10846",0,0,36,0,0,0,0,0,19,0,0,0,0,0,14
"Symbiodinium10849",35,14,93,68,0,0,14,0,6,16,0,67,3,20,166
"Symbiodinium10857",15,5,75,19,0,0,28,0,10,49,29,0,75,27,47
"Symbiodinium10859",192,101,289,198,39,3,103,0,120,108,302,145,34,171,176
