"","Acer_1089","Acer_1090","Acer_1091","Acer_1092","Acer_1097","Acer_1098","Acer_1099","Acer_1100","Acer_2263","Acer_2265","Acer_2266","Acer_2267","Acer_2268","Acer_2382","Acer_2384"
"Symbiodinium30298",48,12,11,21,0,0,33,0,0,45,5,0,14,2,0
"Symbiodinium303",0,4,0,12,0,0,0,0,5,0,26,0,12,0,0
"Symbiodinium30300",38,70,130,49,0,18,44,0,104,40,156,67,169,80,134
"Symbiodinium30303",33,15,41,55,4,80,126,0,32,0,76,35,38,33,0
"Symbiodinium30305",71,46,144,43,242,82,14,0,84,87,322,68,181,97,88
"Symbiodinium30308",20,14,25,81,21,0,116,0,78,111,46,41,4,33,267
"Symbiodinium30309",46,35,114,56,0,0,54,0,21,0,140,176,105,31,110
"Symbiodinium30312",134,136,309,166,309,14,134,0,286,371,467,115,419,177,518
"Symbiodinium30313",0,0,15,0,0,0,0,0,0,0,0,0,0,0,26
"Symbiodinium30317",5,0,23,20,42,0,0,0,0,0,0,0,0,0,0
"Symbiodinium30319",107,12,265,77,2,0,5,0,13,33,2,77,110,30,9
"Symbiodinium30320",79,35,32,44,0,0,0,0,154,24,93,70,20,77,206
"Symbiodinium30322",66,55,186,112,0,0,21,0,87,65,185,18,57,36,83
"Symbiodinium30323",0,0,0,0,0,0,17,0,0,0,0,0,0,0,73
"Symbiodinium30324",72,53,263,168,467,8,259,0,132,478,57,190,398,167,400
"Symbiodinium30325",69,154,260,101,323,5,324,0,123,162,97,53,104,69,98
"Symbiodinium30326",55,5,78,2,0,0,1,0,103,0,126,20,12,59,10
"Symbiodinium30329",235,83,158,134,35,0,131,0,90,131,86,127,146,109,126
"Symbiodinium30331",320,108,356,196,293,163,151,0,264,293,412,482,213,187,516
"Symbiodinium30332",15,2,75,48,0,0,118,0,69,24,0,0,54,41,31
"Symbiodinium30335",51,36,146,141,0,20,3,0,114,74,198,73,98,86,234
"Symbiodinium30339",146,41,64,142,2,159,44,0,76,115,59,142,72,177,82
"Symbiodinium30340",85,47,65,68,0,0,11,0,158,203,175,168,140,46,91
"Symbiodinium30341",74,0,53,4,0,0,52,0,93,132,0,0,0,23,83
"Symbiodinium30342",52,57,53,80,118,0,15,0,133,75,34,131,40,66,42
"Symbiodinium30343",200,180,633,315,538,133,517,0,353,329,485,350,273,168,537
"Symbiodinium30345",0,0,11,14,0,0,0,0,0,44,0,24,3,0,0
"Symbiodinium30346",0,11,0,0,0,0,0,0,0,0,0,16,11,0,0
"Symbiodinium30347",32,76,227,121,378,713,164,0,134,93,184,128,119,147,272
"Symbiodinium30349",0,0,28,15,65,0,0,0,0,0,0,0,0,0,0
"Symbiodinium30351",44,27,98,23,0,0,21,0,46,55,19,53,10,21,168
"Symbiodinium30353",60,26,91,61,380,429,35,0,181,6,139,114,116,96,131
"Symbiodinium30355",0,0,49,0,0,0,19,0,0,0,0,0,0,0,0
"Symbiodinium30356",146,43,174,201,225,17,49,0,260,69,305,241,197,137,148
"Symbiodinium30360",50,12,201,48,170,0,9,0,133,189,109,95,58,50,186
"Symbiodinium30365",65,11,19,20,8,0,121,0,73,120,130,46,90,62,18
"Symbiodinium30368",61,25,16,64,146,0,0,0,30,0,182,112,8,29,14
"Symbiodinium30372",37,92,127,78,177,1,36,0,29,124,132,41,55,98,314
"Symbiodinium30380",47,22,40,37,10,10,329,0,51,60,188,85,252,88,98
"Symbiodinium30381",27,16,204,20,2,0,132,0,58,229,155,157,145,52,71
"Symbiodinium30385",79,17,105,41,343,0,90,0,77,22,126,75,122,47,162
"Symbiodinium30386",34,19,68,40,134,0,49,0,39,52,64,82,9,31,180
"Symbiodinium30388",21,0,47,0,0,0,11,0,0,0,0,0,0,0,19
"Symbiodinium30391",43,11,76,24,0,0,0,0,1,0,87,54,37,16,10
"Symbiodinium30392",90,65,635,173,3,0,195,0,195,479,293,235,187,90,126
"Symbiodinium30393",0,0,41,0,0,0,29,0,0,37,0,0,10,0,2
"Symbiodinium30395",27,54,218,90,427,194,67,0,113,223,400,267,152,108,397
"Symbiodinium30396",105,31,177,72,91,0,47,0,131,173,254,184,73,41,105
"Symbiodinium30397",70,162,176,208,288,12,344,0,140,196,164,203,115,55,544
"Symbiodinium30407",657,462,2623,1097,49,25,426,0,1273,1123,1926,1552,625,657,928
"Symbiodinium30408",87,86,123,71,158,455,140,0,51,119,347,91,64,61,208
"Symbiodinium30410",31,15,87,26,0,0,0,0,88,64,64,62,41,54,5
"Symbiodinium30414",70,68,201,156,128,0,101,0,205,402,124,48,66,54,111
"Symbiodinium30416",77,12,28,32,310,236,0,0,32,10,66,41,26,28,10
"Symbiodinium30417",56,33,201,111,172,0,74,0,80,243,215,296,46,139,224
"Symbiodinium30418",0,7,10,13,0,0,0,0,20,0,0,14,20,0,0
"Symbiodinium30421",173,99,147,87,43,67,99,0,181,223,310,189,93,139,289
"Symbiodinium30422",0,6,22,0,0,0,0,0,27,0,0,0,0,9,0
"Symbiodinium30423",30,94,131,51,54,148,260,0,231,110,114,43,108,80,270
"Symbiodinium30426",39,31,126,153,0,0,65,0,60,117,231,66,43,21,112
"Symbiodinium30427",0,0,0,2,25,0,0,0,0,0,0,0,0,10,0
"Symbiodinium30429",0,0,0,0,0,0,0,0,12,56,0,0,0,0,26
"Symbiodinium30431",63,70,178,175,88,0,50,0,177,149,45,87,35,103,56
"Symbiodinium30434",98,91,141,75,89,0,1,0,138,157,308,131,148,76,92
"Symbiodinium30435",89,80,351,229,240,5,143,0,116,60,103,243,194,85,100
"Symbiodinium30438",65,40,236,138,30,0,151,0,92,256,103,156,214,140,87
"Symbiodinium30443",3,0,18,1,0,0,0,0,25,0,0,0,0,0,0
"Symbiodinium30447",0,0,44,15,0,0,0,0,0,0,0,0,0,0,0
"Symbiodinium30453",78,11,110,37,0,0,28,0,102,101,134,118,129,29,140
"Symbiodinium30454",55,53,80,185,0,0,97,0,58,18,219,137,321,27,97
"Symbiodinium30455",24,68,81,89,345,0,53,0,29,23,0,0,44,25,74
"Symbiodinium30456",60,1,68,75,20,0,12,0,28,0,59,10,63,21,10
"Symbiodinium30459",91,43,165,60,5,0,117,0,63,91,258,94,52,66,46
"Symbiodinium30460",23,36,127,31,44,0,91,0,26,29,74,52,76,21,63
"Symbiodinium30461",24,0,8,0,0,0,5,0,12,0,0,0,0,0,0
"Symbiodinium30462",40,14,75,55,0,0,29,0,63,157,105,65,25,34,120
"Symbiodinium30463",0,0,19,18,0,0,0,0,0,39,2,0,5,9,55
"Symbiodinium30468",102,39,145,78,106,1,108,0,262,144,180,100,331,117,181
"Symbiodinium30471",77,28,66,26,49,28,14,0,65,0,53,65,147,51,72
"Symbiodinium30473",70,12,240,55,0,12,66,0,89,40,97,42,21,47,29
"Symbiodinium30474",20,0,0,27,0,35,0,0,0,0,0,0,0,0,0
"Symbiodinium30479",86,26,229,60,1,0,39,0,76,292,369,18,57,64,89
"Symbiodinium30481",146,33,100,88,130,58,132,0,101,106,68,24,145,64,172
"Symbiodinium30484",133,61,211,87,0,0,117,0,133,192,155,200,67,161,59
"Symbiodinium30485",41,40,182,45,187,0,0,0,50,138,6,29,64,40,125
"Symbiodinium30491",113,67,304,100,712,212,337,0,62,156,261,208,94,87,334
"Symbiodinium30494",0,0,0,0,93,0,0,0,31,0,0,0,0,9,21
"Symbiodinium30498",37,0,0,0,0,0,0,0,0,58,90,47,9,5,37
"Symbiodinium30505",258,165,643,224,133,0,36,0,469,504,775,506,334,220,444
"Symbiodinium30506",10,7,33,5,0,0,107,0,14,56,0,0,0,0,24
"Symbiodinium30507",19,10,66,10,25,0,41,0,43,18,80,41,64,9,25
"Symbiodinium30508",42,7,9,44,0,0,1,0,35,97,24,42,9,39,186
"Symbiodinium30509",167,111,484,160,291,28,141,0,280,389,383,260,120,96,284
"Symbiodinium30511",261,292,797,315,302,72,377,0,515,267,650,499,264,149,763
"Symbiodinium30512",0,0,0,0,0,0,0,0,11,0,0,17,19,0,0
"Symbiodinium30513",90,45,97,110,141,397,41,0,33,15,144,114,142,50,27
"Symbiodinium30515",43,49,172,60,35,0,142,0,45,0,88,153,105,96,173
"Symbiodinium30516",11,0,7,0,0,0,3,0,16,0,0,0,0,0,0
"Symbiodinium30517",135,23,121,76,2,80,114,0,239,38,182,138,251,70,141
"Symbiodinium30518",61,19,61,59,102,210,44,0,115,109,38,84,62,142,96
"Symbiodinium30519",13,59,28,35,152,0,44,0,77,0,31,20,7,4,29
"Symbiodinium30520",230,138,490,150,201,130,99,0,243,139,422,302,301,218,482
"Symbiodinium30521",0,0,38,0,0,0,0,0,0,0,0,0,24,0,0
"Symbiodinium30525",113,55,79,21,0,0,106,0,110,157,98,109,79,42,0
"Symbiodinium30527",8,3,39,25,11,0,0,0,17,77,0,11,51,2,11
"Symbiodinium30530",151,25,84,61,0,0,33,0,121,0,180,97,2,62,241
"Symbiodinium30532",667,529,753,622,219,155,314,0,371,423,1483,1320,711,311,965
"Symbiodinium30534",129,100,159,77,442,86,483,0,180,349,228,464,290,183,717
"Symbiodinium30536",0,0,13,2,0,0,0,0,15,14,0,0,0,10,0
"Symbiodinium30537",50,83,283,164,1125,124,76,0,142,47,123,42,244,110,205
"Symbiodinium30538",115,42,243,86,343,0,105,0,101,23,212,77,43,102,248
"Symbiodinium30540",0,0,9,40,0,0,0,0,0,0,0,15,0,0,0
"Symbiodinium30543",112,67,133,49,184,0,155,0,68,97,137,257,104,44,91
"Symbiodinium30544",0,0,39,0,0,0,0,0,0,0,0,0,0,0,42
"Symbiodinium30545",0,16,33,14,0,0,96,0,0,15,0,55,0,0,36
"Symbiodinium30546",0,0,0,0,0,0,0,0,0,0,0,0,0,10,94
"Symbiodinium30555",95,10,73,14,47,0,73,0,75,163,72,93,83,68,163
"Symbiodinium30556",0,10,91,62,0,0,22,0,13,0,28,0,0,0,40
"Symbiodinium30558",8,3,23,0,0,0,0,0,0,0,0,0,0,15,0
"Symbiodinium3056",0,0,0,8,0,0,0,0,9,0,0,0,0,13,16
"Symbiodinium30560",149,37,204,189,85,82,92,0,190,130,327,470,167,162,310
"Symbiodinium30561",46,21,6,55,0,0,35,0,40,35,0,6,0,21,0
"Symbiodinium30564",297,134,503,296,248,2,165,0,167,191,488,281,229,198,425
"Symbiodinium30566",53,29,110,81,30,24,96,0,77,89,38,74,30,37,140
"Symbiodinium30570",85,42,106,99,48,11,79,0,109,66,319,198,190,75,179
"Symbiodinium30571",128,179,560,232,196,0,119,0,239,323,189,171,271,123,294
"Symbiodinium30572",104,83,474,178,10,0,3,0,165,78,730,172,55,64,117
"Symbiodinium30573",123,41,65,91,6,0,0,0,69,66,106,111,1,57,0
"Symbiodinium30578",100,49,85,155,52,56,144,0,154,125,222,133,94,94,211
"Symbiodinium30579",40,13,0,16,0,0,0,0,53,0,22,1,30,7,0
"Symbiodinium3058",13,7,16,0,46,0,39,0,0,0,0,0,27,14,0
"Symbiodinium30582",31,33,3,1,0,0,0,0,17,56,88,0,0,1,0
"Symbiodinium30583",0,0,4,3,0,0,13,0,0,36,0,0,0,0,0
"Symbiodinium30586",40,32,63,50,14,24,222,0,147,169,45,72,98,85,49
"Symbiodinium3059",0,0,24,1,1,0,111,0,0,0,0,28,0,21,0
"Symbiodinium30590",105,92,181,28,8,0,0,0,138,73,126,71,172,75,128
"Symbiodinium30591",5,5,98,31,0,0,29,0,61,14,45,29,51,10,48
"Symbiodinium306",96,151,553,267,6,14,98,0,259,263,157,98,146,87,357
"Symbiodinium30602",136,54,120,53,230,333,27,0,155,0,108,114,178,84,163
"Symbiodinium30604",59,29,9,43,1,0,79,0,89,50,84,45,137,123,76
"Symbiodinium30605",6,8,122,179,478,174,127,0,123,208,88,20,76,28,49
"Symbiodinium30606",0,0,0,12,0,0,0,0,0,0,0,6,0,12,29
"Symbiodinium30607",22,19,59,16,0,43,0,0,96,34,1,83,33,35,87
"Symbiodinium30609",13,3,53,12,0,0,0,0,0,0,0,16,0,5,0
"Symbiodinium30611",167,53,348,236,387,0,65,0,325,145,105,387,74,94,140
"Symbiodinium30612",109,75,199,24,3,0,47,0,266,228,440,422,121,181,180
"Symbiodinium30613",0,25,138,38,0,0,63,0,32,74,43,29,1,7,0
"Symbiodinium30615",108,74,342,111,43,0,133,0,91,136,182,330,118,78,182
"Symbiodinium30616",0,0,0,0,0,0,50,0,0,33,0,0,0,0,0
"Symbiodinium30617",43,66,191,205,372,8,448,0,80,176,157,112,122,51,367
"Symbiodinium30622",45,53,125,109,5,14,64,0,41,69,89,25,103,40,235
"Symbiodinium30625",176,68,343,178,503,62,349,0,243,242,375,279,280,112,260
"Symbiodinium30626",61,44,140,133,15,0,0,0,114,66,259,128,44,107,139
"Symbiodinium30628",61,2,73,85,300,0,2,0,64,5,13,73,21,13,35
"Symbiodinium30629",52,13,39,32,0,0,0,0,55,0,43,61,83,36,144
"Symbiodinium30631",77,31,285,104,16,0,6,0,124,51,157,116,86,78,90
"Symbiodinium30637",269,236,1346,515,748,2,661,0,204,268,487,905,221,228,1189
"Symbiodinium30638",15,14,16,0,0,0,0,0,0,0,0,28,0,0,0
"Symbiodinium30639",182,97,312,80,0,112,173,0,208,230,219,236,65,54,311
"Symbiodinium30640",26,24,111,92,0,0,43,0,110,19,5,66,93,50,20
"Symbiodinium30641",92,97,102,121,42,0,139,0,182,167,131,144,222,132,251
"Symbiodinium30645",0,0,40,0,38,0,0,0,0,0,0,0,0,0,0
"Symbiodinium30647",34,39,162,11,0,0,7,0,25,0,65,115,6,75,32
"Symbiodinium30648",103,37,102,37,236,1,46,0,105,68,118,77,0,29,35
"Symbiodinium30649",108,105,273,150,178,0,32,0,332,222,259,570,265,144,401
"Symbiodinium30650",201,73,281,179,142,43,32,0,122,294,242,110,202,86,101
"Symbiodinium30652",171,138,476,190,247,14,450,0,226,415,270,302,17,172,279
"Symbiodinium30653",0,0,0,24,26,0,0,0,0,0,0,0,0,0,0
"Symbiodinium30654",41,20,212,57,8,0,21,0,87,77,4,38,41,35,71
"Symbiodinium30656",6,41,82,26,43,0,0,0,19,0,0,27,5,13,0
"Symbiodinium30657",212,59,316,89,1,1,167,0,346,188,585,308,316,123,466
"Symbiodinium30658",90,16,51,39,0,0,0,0,23,118,119,16,69,35,28
"Symbiodinium30659",81,26,51,31,260,109,35,0,103,75,94,57,40,30,109
"Symbiodinium30661",5,3,26,27,0,0,0,0,31,97,3,1,2,16,23
"Symbiodinium30666",20,54,173,37,0,0,60,0,39,45,123,167,61,46,62
"Symbiodinium30667",38,48,177,105,0,0,0,0,86,99,37,72,40,25,149
"Symbiodinium30668",97,89,138,78,300,0,364,0,230,269,207,95,31,65,223
"Symbiodinium30670",96,35,100,53,21,0,76,0,85,75,48,89,23,74,25
"Symbiodinium30674",178,84,213,157,0,0,1,0,147,23,267,219,108,57,39
"Symbiodinium30676",101,188,465,212,163,2,316,0,305,454,473,337,344,214,427
"Symbiodinium30680",344,103,290,185,87,36,46,0,134,384,187,362,254,219,343
"Symbiodinium30681",171,151,575,252,94,0,138,0,251,259,221,318,157,211,260
"Symbiodinium30682",0,7,28,19,0,0,0,0,0,0,0,12,0,0,0
"Symbiodinium30684",59,6,59,27,0,0,9,0,18,73,43,75,3,51,29
"Symbiodinium30685",48,33,191,49,0,0,36,0,55,119,115,53,26,79,76
"Symbiodinium30687",28,18,100,11,368,0,47,0,55,12,95,59,128,33,112
"Symbiodinium30689",180,59,138,111,2,1,35,0,192,89,196,214,119,67,205
"Symbiodinium30693",13,31,44,130,228,38,215,0,46,98,125,90,131,54,179
"Symbiodinium30694",90,16,235,131,121,0,164,0,144,81,207,148,103,163,153
"Symbiodinium30695",72,21,87,86,0,0,1,0,1,90,11,12,101,56,148
"Symbiodinium30696",89,40,270,143,220,152,193,0,256,78,259,151,141,81,522
"Symbiodinium30697",5,7,0,0,0,0,0,0,21,0,70,0,0,0,6
"Symbiodinium30700",196,86,319,230,1,56,20,0,147,122,112,121,144,40,87
"Symbiodinium30703",68,15,118,57,139,0,78,0,32,160,232,25,98,49,32
"Symbiodinium30706",143,62,94,56,0,0,39,0,190,453,37,306,73,81,120
"Symbiodinium30707",0,19,23,0,0,0,0,0,0,0,0,0,0,0,0
"Symbiodinium30709",577,737,3272,1625,282,0,1455,0,1336,1622,2036,1535,783,497,2406
"Symbiodinium30712",6,18,79,150,42,1,66,0,67,18,190,126,46,89,184
"Symbiodinium30714",65,20,154,41,0,0,41,0,110,0,76,58,122,44,121
"Symbiodinium30716",44,7,81,0,0,0,39,0,30,23,121,9,5,14,68
"Symbiodinium30717",168,75,117,84,87,1,38,0,113,204,181,169,70,143,160
"Symbiodinium30718",64,62,62,24,9,0,0,0,77,117,120,104,53,77,111
"Symbiodinium30719",160,65,122,120,0,0,142,0,239,85,269,135,109,36,212
"Symbiodinium30727",55,72,181,97,53,0,157,0,183,0,179,242,146,104,155
"Symbiodinium30728",103,198,420,179,379,175,67,0,113,200,84,110,249,147,89
"Symbiodinium30729",119,66,454,207,219,0,146,0,175,290,335,194,134,84,256
"Symbiodinium30732",31,6,54,76,283,0,88,0,33,77,1,28,3,77,69
"Symbiodinium30736",17,0,0,5,0,0,0,0,0,0,30,0,0,0,1
"Symbiodinium30738",85,44,134,53,22,1,31,0,45,354,174,127,137,134,173
"Symbiodinium30740",18,22,141,48,5,12,42,0,162,161,118,147,129,92,105
"Symbiodinium30743",48,21,150,62,167,12,66,0,88,131,89,61,216,65,134
"Symbiodinium30745",184,131,532,222,93,14,309,0,325,372,337,429,152,185,405
"Symbiodinium30746",46,63,123,39,68,21,55,0,60,0,29,17,200,56,50
"Symbiodinium30748",45,74,367,241,50,137,217,0,114,50,320,137,29,58,295
"Symbiodinium30750",125,54,156,196,0,3,27,0,98,74,111,87,30,79,116
"Symbiodinium30751",67,22,23,37,0,0,0,0,3,15,76,65,8,24,128
"Symbiodinium30753",0,13,0,16,0,0,14,0,0,0,0,0,0,0,0
"Symbiodinium30754",35,51,103,38,289,0,104,0,80,97,216,65,52,52,161
"Symbiodinium30755",68,66,141,90,171,119,166,0,66,146,86,106,43,101,218
"Symbiodinium30756",21,45,128,43,140,3,0,0,33,37,91,47,101,48,0
"Symbiodinium30758",85,33,135,63,169,4,168,0,84,27,110,140,79,79,49
"Symbiodinium30760",69,58,66,63,0,0,9,0,176,57,30,66,17,32,94
"Symbiodinium30761",2,6,7,36,0,0,27,0,24,42,0,20,41,0,0
"Symbiodinium30762",31,60,146,35,33,0,8,0,24,41,20,70,20,13,56
"Symbiodinium30763",34,19,64,14,0,36,3,0,30,28,54,17,45,61,73
"Symbiodinium30765",90,14,31,18,16,0,139,0,58,152,59,134,123,71,10
"Symbiodinium30767",71,69,141,168,0,38,37,0,58,58,143,72,2,55,44
"Symbiodinium30768",16,32,132,80,2,1,0,0,228,98,266,66,24,95,307
"Symbiodinium30769",42,22,126,101,0,172,0,0,107,49,267,56,152,66,196
"Symbiodinium30770",59,79,128,74,0,111,2,0,109,122,150,222,136,39,129
"Symbiodinium30772",203,81,224,135,399,860,168,0,162,311,514,226,277,158,648
"Symbiodinium30776",42,19,97,33,3,0,113,0,70,77,81,53,118,57,42
"Symbiodinium30777",431,280,1071,756,92,28,49,0,549,474,714,948,351,345,236
"Symbiodinium30780",0,16,0,4,0,0,0,0,0,0,15,0,1,1,11
"Symbiodinium30784",65,24,267,147,164,216,116,0,56,0,138,191,67,85,484
"Symbiodinium30787",23,32,90,70,148,9,143,0,1,32,23,86,24,54,215
"Symbiodinium30789",60,46,231,89,23,50,49,0,149,158,225,31,79,82,183
"Symbiodinium30791",70,24,33,40,18,0,0,0,97,6,69,42,104,61,16
"Symbiodinium30792",59,5,124,107,20,0,1,0,106,25,130,0,0,113,100
"Symbiodinium30798",81,26,60,55,213,50,22,0,131,125,51,66,9,35,134
"Symbiodinium30803",0,0,53,57,110,0,11,0,13,0,0,28,0,15,2
"Symbiodinium30805",166,150,393,146,132,23,114,0,354,301,357,677,359,109,194
"Symbiodinium30806",16,0,0,1,11,0,0,0,0,0,0,0,18,11,0
"Symbiodinium30812",14,29,90,25,0,227,1,0,13,143,113,26,24,37,57
"Symbiodinium30815",0,0,16,27,0,0,0,0,0,9,0,35,0,1,0
"Symbiodinium30817",136,24,136,101,87,205,86,0,147,259,199,254,90,43,238
"Symbiodinium30819",130,35,151,65,78,21,9,0,143,79,320,119,115,123,86
"Symbiodinium30820",100,89,118,39,370,299,316,0,209,207,186,92,68,153,482
"Symbiodinium30823",106,56,129,38,28,0,27,0,87,112,73,137,262,65,112
"Symbiodinium30824",30,20,57,40,81,0,27,0,88,187,0,74,72,88,25
"Symbiodinium30826",3,16,15,13,0,0,0,0,2,19,0,7,0,6,0
"Symbiodinium30830",71,31,185,87,0,30,1,0,71,111,124,176,45,143,265
"Symbiodinium30832",73,9,142,50,151,0,4,0,89,237,138,207,170,88,58
"Symbiodinium30833",94,0,153,137,3,0,0,0,102,153,91,49,0,71,28
"Symbiodinium30836",123,16,220,126,41,0,89,0,153,73,298,295,152,129,501
"Symbiodinium30837",14,19,104,40,132,0,75,0,19,91,46,72,85,49,72
"Symbiodinium30838",71,74,160,119,270,119,222,0,128,144,232,226,58,93,171
"Symbiodinium30839",69,13,99,15,58,0,78,0,77,130,126,16,77,83,137
"Symbiodinium30851",64,19,107,3,88,1,136,0,226,95,0,39,64,102,36
"Symbiodinium30854",318,231,1845,543,23,0,925,0,736,858,569,609,350,260,822
"Symbiodinium30855",317,159,424,284,218,65,139,0,451,479,684,472,455,227,736
"Symbiodinium30856",133,48,107,32,66,0,8,0,43,127,86,43,140,55,28
"Symbiodinium30857",66,42,227,112,92,3,123,0,95,143,182,80,84,85,57
"Symbiodinium30859",0,12,0,0,71,0,0,0,0,0,0,4,0,0,0
"Symbiodinium30865",0,0,22,15,21,3,0,0,0,0,12,0,0,0,4
"Symbiodinium30866",203,176,537,275,111,41,158,0,202,246,387,119,203,198,310
"Symbiodinium30868",0,16,0,19,0,0,0,0,0,0,0,0,0,0,0
"Symbiodinium30869",60,25,52,20,86,0,1,0,108,78,112,133,149,9,153
"Symbiodinium30871",14,0,0,0,0,0,0,0,0,0,0,0,0,0,32
"Symbiodinium30872",172,226,781,278,47,0,144,0,407,150,341,324,267,158,227
"Symbiodinium30873",53,75,114,63,0,0,116,0,144,52,169,142,36,29,97
"Symbiodinium30874",12,0,12,0,0,0,0,0,52,45,1,0,0,0,0
"Symbiodinium30876",133,50,277,127,123,2,273,0,169,175,363,429,267,94,431
"Symbiodinium30877",107,170,227,119,992,201,410,0,134,143,122,72,161,105,302
"Symbiodinium30879",3,12,0,12,0,0,12,0,7,26,0,63,26,1,0
"Symbiodinium30880",25,28,97,15,0,0,0,0,33,0,0,0,18,6,0
"Symbiodinium30883",8,51,51,89,0,76,116,0,34,44,0,22,0,26,180
"Symbiodinium30886",0,15,20,90,164,0,61,0,0,4,0,0,0,7,10
"Symbiodinium30889",143,136,410,195,78,0,366,0,237,172,315,340,222,198,154
"Symbiodinium30890",22,26,64,0,0,0,12,0,12,33,47,6,1,0,62
"Symbiodinium30891",43,1,17,43,22,0,38,0,40,39,25,15,20,26,0
"Symbiodinium30892",0,12,0,0,0,0,0,0,0,0,0,0,0,0,16
"Symbiodinium30894",118,80,274,171,377,62,187,0,60,261,465,308,113,90,117
"Symbiodinium30895",0,0,0,6,0,0,0,0,0,0,15,18,0,0,57
"Symbiodinium30896",396,421,1546,710,103,0,479,0,810,859,598,824,1027,374,1298
"Symbiodinium30897",24,31,111,44,0,0,47,0,41,54,133,31,20,46,43
"Symbiodinium30900",1,6,7,2,0,16,27,0,0,44,48,9,12,36,0
"Symbiodinium30907",73,31,38,37,65,0,39,0,74,44,14,53,19,16,50
"Symbiodinium30911",4,44,200,54,13,89,67,0,68,103,185,99,12,62,104
"Symbiodinium30912",33,23,28,59,106,14,72,0,83,0,79,24,1,43,127
"Symbiodinium30914",66,69,113,111,0,2,102,0,51,137,46,159,31,41,33
"Symbiodinium30915",38,25,82,25,112,0,71,0,94,165,17,78,37,30,110
"Symbiodinium30919",8,5,0,3,0,0,77,0,92,48,0,74,50,27,17
"Symbiodinium30921",70,21,76,58,199,0,52,0,97,145,97,63,56,47,124
"Symbiodinium30924",0,0,16,23,0,0,0,0,0,0,0,0,0,0,26
"Symbiodinium30925",0,13,48,0,0,0,0,0,1,0,0,0,0,0,0
"Symbiodinium30928",56,25,175,18,0,0,0,0,123,132,221,211,27,17,154
"Symbiodinium30929",11,37,222,63,0,0,1,0,146,52,101,61,19,20,175
"Symbiodinium30931",140,189,476,210,78,35,233,0,589,231,499,487,205,167,468
"Symbiodinium30935",89,35,80,70,23,133,71,0,69,79,73,35,13,87,102
"Symbiodinium30936",47,3,36,35,22,0,14,0,124,101,132,186,46,36,65
"Symbiodinium30939",143,103,434,101,32,1,210,0,205,16,147,158,257,58,206
"Symbiodinium30941",52,51,345,100,727,188,208,0,73,0,125,95,103,34,79
"Symbiodinium30943",18,8,11,10,0,1,5,0,23,50,236,24,124,125,77
"Symbiodinium30952",0,0,0,0,2,0,3,0,0,0,33,38,13,13,1
"Symbiodinium30955",22,17,66,33,311,0,0,0,24,146,67,26,21,22,9
"Symbiodinium30956",99,79,111,72,51,0,66,0,160,140,283,256,210,61,187
"Symbiodinium30959",68,114,445,255,350,516,576,0,312,316,373,503,227,124,857
"Symbiodinium30961",30,36,58,46,0,2,40,0,51,96,9,51,59,21,160
"Symbiodinium30962",307,239,980,313,945,26,664,0,384,473,703,622,420,389,1475
"Symbiodinium30963",48,41,182,78,323,110,131,0,91,35,233,76,60,47,376
"Symbiodinium30964",74,17,114,66,0,0,0,0,63,23,313,86,98,24,14
"Symbiodinium30971",38,41,158,73,0,0,84,0,79,134,106,76,69,44,11
"Symbiodinium30974",0,3,15,12,9,0,0,0,33,37,5,0,0,38,18
"Symbiodinium30978",0,5,0,0,0,0,0,0,0,0,0,23,42,12,0
"Symbiodinium30979",39,34,104,11,0,0,26,0,62,97,0,67,34,32,26
"Symbiodinium30981",104,27,130,51,663,0,80,0,95,49,69,39,1,116,4
"Symbiodinium30983",39,13,76,38,170,0,21,0,24,5,86,78,111,4,3
"Symbiodinium30987",0,4,26,3,34,0,1,0,0,17,63,40,0,0,67
"Symbiodinium30990",132,51,222,187,0,0,53,0,247,404,501,315,128,119,386
"Symbiodinium30991",0,6,0,0,0,0,0,0,0,25,0,4,31,0,0
"Symbiodinium30992",84,110,409,124,692,268,244,0,89,243,193,96,75,67,468
"Symbiodinium30993",0,21,44,47,0,66,0,0,38,0,19,3,1,0,0
"Symbiodinium30994",32,0,27,0,0,0,0,0,25,0,4,17,0,0,0
"Symbiodinium30998",0,0,12,0,0,0,0,0,0,0,19,0,0,0,41
"Symbiodinium31003",25,15,21,5,35,0,0,0,68,57,197,91,123,38,39
"Symbiodinium31008",43,38,55,138,37,0,64,0,106,71,98,29,11,48,81
"Symbiodinium31010",122,36,208,47,0,0,16,0,22,191,55,316,136,46,78
"Symbiodinium31013",169,187,904,310,3,8,185,0,150,308,383,649,193,120,377
"Symbiodinium31017",20,32,195,86,1,0,13,0,83,136,115,81,32,22,35
"Symbiodinium31018",82,10,135,55,3,0,0,0,94,57,127,16,66,73,54
"Symbiodinium31020",38,22,85,87,4,0,10,0,58,30,155,25,52,100,40
"Symbiodinium31021",117,46,97,33,91,0,122,0,107,169,234,138,75,40,26
"Symbiodinium31023",47,11,53,107,3,0,18,0,57,69,58,3,48,25,62
"Symbiodinium31024",224,191,406,152,251,491,138,0,264,449,281,307,335,192,425
"Symbiodinium31025",111,72,412,120,0,0,127,0,202,242,128,226,325,70,190
"Symbiodinium31026",61,96,145,101,185,150,30,0,51,238,109,49,64,91,290
"Symbiodinium31029",88,35,53,68,193,0,81,0,66,119,54,138,6,10,33
