"Plot Title: KBNursery1.09.18"
"#","Date Time, GMT-05:00","Temp, °F (LGR S/N: 20194578, SEN S/N: 20194578)","Intensity, lum/ft² (LGR S/N: 20194578, SEN S/N: 20194578)","End Of File (LGR S/N: 20194578)"
143,01/21/18 04:00:00 AM,71.856,0.0,
144,01/21/18 06:00:00 AM,71.856,0.0,
145,01/21/18 08:00:00 AM,71.683,0.0,
146,01/21/18 10:00:00 AM,71.856,0.0,
147,01/21/18 12:00:00 PM,72.028,0.0,
148,01/21/18 02:00:00 PM,72.028,0.0,
149,01/21/18 04:00:00 PM,72.028,0.0,
150,01/21/18 06:00:00 PM,72.028,0.0,
151,01/21/18 08:00:00 PM,71.856,0.0,
152,01/21/18 10:00:00 PM,71.856,0.0,
153,01/22/18 12:00:00 AM,71.683,0.0,
154,01/22/18 02:00:00 AM,71.856,0.0,
155,01/22/18 04:00:00 AM,71.856,0.0,
156,01/22/18 06:00:00 AM,71.683,0.0,
157,01/22/18 08:00:00 AM,71.683,0.0,
158,01/22/18 10:00:00 AM,72.718,0.0,
159,01/22/18 12:00:00 PM,73.062,0.0,
160,01/22/18 02:00:00 PM,73.407,0.0,
161,01/22/18 04:00:00 PM,73.407,0.0,
162,01/22/18 06:00:00 PM,72.199,0.0,
163,01/22/18 08:00:00 PM,70.995,0.0,
164,01/22/18 10:00:00 PM,71.512,0.0,
165,01/23/18 12:00:00 AM,71.512,0.0,
166,01/23/18 02:00:00 AM,71.512,0.0,
167,01/23/18 04:00:00 AM,71.512,0.0,
168,01/23/18 06:00:00 AM,71.512,0.0,
169,01/23/18 08:00:00 AM,72.545,0.0,
170,01/23/18 10:00:00 AM,73.926,0.0,
171,01/23/18 12:00:00 PM,75.312,416.0,
172,01/23/18 02:00:00 PM,75.312,160.0,
173,01/23/18 04:00:00 PM,75.484,82.0,
174,01/23/18 06:00:00 PM,74.619,1.0,
175,01/23/18 08:00:00 PM,74.271,0.0,
176,01/23/18 10:00:00 PM,74.619,0.0,
177,01/24/18 12:00:00 AM,74.619,0.0,
178,01/24/18 02:00:00 AM,74.446,0.0,
179,01/24/18 04:00:00 AM,74.446,0.0,
180,01/24/18 06:00:00 AM,74.446,0.0,
181,01/24/18 08:00:00 AM,74.619,38.0,
182,01/24/18 10:00:00 AM,74.964,304.0,
183,01/24/18 12:00:00 PM,75.312,192.0,
184,01/24/18 02:00:00 PM,75.312,102.0,
185,01/24/18 04:00:00 PM,75.139,31.0,
186,01/24/18 06:00:00 PM,74.791,0.0,
187,01/24/18 08:00:00 PM,74.791,0.0,
188,01/24/18 10:00:00 PM,74.619,0.0,
189,01/25/18 12:00:00 AM,74.619,0.0,
190,01/25/18 02:00:00 AM,74.619,0.0,
191,01/25/18 04:00:00 AM,74.619,0.0,
192,01/25/18 06:00:00 AM,73.926,0.0,
193,01/25/18 08:00:00 AM,73.580,12.0,
194,01/25/18 10:00:00 AM,73.926,76.0,
195,01/25/18 12:00:00 PM,73.926,85.0,
196,01/25/18 02:00:00 PM,73.926,30.0,
197,01/25/18 04:00:00 PM,73.753,6.0,
198,01/25/18 06:00:00 PM,73.580,0.0,
199,01/25/18 08:00:00 PM,73.580,0.0,
200,01/25/18 10:00:00 PM,73.407,0.0,
201,01/26/18 12:00:00 AM,73.407,0.0,
202,01/26/18 02:00:00 AM,73.926,0.0,
203,01/26/18 04:00:00 AM,73.753,0.0,
204,01/26/18 06:00:00 AM,73.753,0.0,
205,01/26/18 08:00:00 AM,73.926,0.0,
206,01/26/18 10:00:00 AM,73.753,5.0,
207,01/26/18 12:00:00 PM,73.926,5.0,
208,01/26/18 02:00:00 PM,74.446,28.0,
209,01/26/18 04:00:00 PM,74.446,50.0,
210,01/26/18 06:00:00 PM,74.271,0.0,
211,01/26/18 08:00:00 PM,73.753,0.0,
212,01/26/18 10:00:00 PM,72.891,0.0,
213,01/27/18 12:00:00 AM,73.407,0.0,
214,01/27/18 02:00:00 AM,74.098,0.0,
215,01/27/18 04:00:00 AM,74.098,0.0,
216,01/27/18 06:00:00 AM,73.926,0.0,
217,01/27/18 08:00:00 AM,73.580,1.0,
218,01/27/18 10:00:00 AM,72.891,3.0,
219,01/27/18 12:00:00 PM,71.856,0.0,
220,01/27/18 02:00:00 PM,72.199,2.0,
221,01/27/18 04:00:00 PM,72.545,3.0,
222,01/27/18 06:00:00 PM,72.891,0.0,
223,01/27/18 08:00:00 PM,72.372,0.0,
224,01/27/18 10:00:00 PM,71.856,0.0,
225,01/28/18 12:00:00 AM,71.168,0.0,
226,01/28/18 02:00:00 AM,71.512,0.0,
227,01/28/18 04:00:00 AM,72.718,0.0,
228,01/28/18 06:00:00 AM,73.234,0.0,
229,01/28/18 08:00:00 AM,72.891,0.0,
230,01/28/18 10:00:00 AM,71.683,0.0,
231,01/28/18 12:00:00 PM,72.199,0.0,
232,01/28/18 02:00:00 PM,72.199,11.0,
233,01/28/18 04:00:00 PM,74.098,2.0,
234,01/28/18 06:00:00 PM,74.964,0.0,
235,01/28/18 08:00:00 PM,74.964,0.0,
236,01/28/18 10:00:00 PM,73.580,0.0,
237,01/29/18 12:00:00 AM,72.545,0.0,
238,01/29/18 02:00:00 AM,71.856,0.0,
239,01/29/18 04:00:00 AM,73.407,0.0,
240,01/29/18 06:00:00 AM,74.446,0.0,
241,01/29/18 08:00:00 AM,74.446,4.0,
242,01/29/18 10:00:00 AM,74.446,6.0,
243,01/29/18 12:00:00 PM,73.926,5.0,
244,01/29/18 02:00:00 PM,74.098,7.0,
245,01/29/18 04:00:00 PM,74.446,22.0,
246,01/29/18 06:00:00 PM,74.619,0.0,
247,01/29/18 08:00:00 PM,74.791,0.0,
248,01/29/18 10:00:00 PM,74.619,0.0,
249,01/30/18 12:00:00 AM,74.964,0.0,
250,01/30/18 02:00:00 AM,75.139,0.0,
251,01/30/18 04:00:00 AM,74.791,0.0,
252,01/30/18 06:00:00 AM,74.619,0.0,
253,01/30/18 08:00:00 AM,74.446,24.0,
254,01/30/18 10:00:00 AM,74.446,53.0,
255,01/30/18 12:00:00 PM,74.271,45.0,
256,01/30/18 02:00:00 PM,74.446,30.0,
257,01/30/18 04:00:00 PM,75.139,36.0,
258,01/30/18 06:00:00 PM,75.139,0.0,
259,01/30/18 08:00:00 PM,75.139,0.0,
260,01/30/18 10:00:00 PM,75.139,0.0,
261,01/31/18 12:00:00 AM,74.791,0.0,
262,01/31/18 02:00:00 AM,74.098,0.0,
263,01/31/18 04:00:00 AM,74.271,0.0,
264,01/31/18 06:00:00 AM,74.791,0.0,
265,01/31/18 08:00:00 AM,74.791,35.0,
266,01/31/18 10:00:00 AM,75.139,55.0,
267,01/31/18 12:00:00 PM,74.964,152.0,
268,01/31/18 02:00:00 PM,74.619,41.0,
269,01/31/18 04:00:00 PM,74.619,43.0,
270,01/31/18 06:00:00 PM,74.964,3.0,
271,01/31/18 08:00:00 PM,74.791,0.0,
272,01/31/18 10:00:00 PM,74.619,0.0,
273,02/01/18 12:00:00 AM,74.619,0.0,
274,02/01/18 02:00:00 AM,74.271,0.0,
275,02/01/18 04:00:00 AM,74.271,0.0,
276,02/01/18 06:00:00 AM,74.271,0.0,
277,02/01/18 08:00:00 AM,74.446,21.0,
278,02/01/18 10:00:00 AM,74.791,92.0,
279,02/01/18 12:00:00 PM,75.659,232.0,
280,02/01/18 02:00:00 PM,75.832,256.0,
281,02/01/18 04:00:00 PM,75.139,272.0,
282,02/01/18 06:00:00 PM,74.619,4.0,
283,02/01/18 08:00:00 PM,74.619,0.0,
284,02/01/18 10:00:00 PM,74.619,0.0,
285,02/02/18 12:00:00 AM,74.446,0.0,
286,02/02/18 02:00:00 AM,74.446,0.0,
287,02/02/18 04:00:00 AM,74.098,0.0,
288,02/02/18 06:00:00 AM,74.098,0.0,
289,02/02/18 08:00:00 AM,74.446,34.0,
290,02/02/18 10:00:00 AM,74.964,114.0,
291,02/02/18 12:00:00 PM,74.964,82.0,
292,02/02/18 02:00:00 PM,75.139,184.0,
293,02/02/18 04:00:00 PM,74.619,288.0,
294,02/02/18 06:00:00 PM,74.271,3.0,
295,02/02/18 08:00:00 PM,74.619,0.0,
296,02/02/18 10:00:00 PM,74.619,0.0,
297,02/03/18 12:00:00 AM,74.446,0.0,
298,02/03/18 02:00:00 AM,73.580,0.0,
299,02/03/18 04:00:00 AM,72.891,0.0,
300,02/03/18 06:00:00 AM,72.372,0.0,
301,02/03/18 08:00:00 AM,72.545,2.0,
302,02/03/18 10:00:00 AM,73.580,10.0,
303,02/03/18 12:00:00 PM,73.926,123.0,
304,02/03/18 02:00:00 PM,73.062,27.0,
305,02/03/18 04:00:00 PM,72.545,22.0,
306,02/03/18 06:00:00 PM,72.372,0.0,
307,02/03/18 08:00:00 PM,73.580,0.0,
308,02/03/18 10:00:00 PM,74.098,0.0,
309,02/04/18 12:00:00 AM,74.098,0.0,
310,02/04/18 02:00:00 AM,73.753,0.0,
311,02/04/18 04:00:00 AM,72.891,0.0,
312,02/04/18 06:00:00 AM,72.199,0.0,
313,02/04/18 08:00:00 AM,72.718,16.0,
